Group|Parameter|Type|Value|Description
Invoice|InvRangeReportSpoolDir|Char|/apps/var/tmp/InvRange_#ID_#DATE_#TIME.csv|Invoice numbers range report spool dir
Invoice|InvRangeReportTransDir|Char|/mnt/store/xfergw/Siirtokansio2/out/|Invoice numbers range report transfer directory
Invoice|NoticeTime|Int|7|
Invoice|RemFeeDaysAfterR1|Int|3|Days after R1 status to remfee
Invoice|RemFeeLimitDate|Date|21/04/16|Reminder fee from Qvantel System
Invoice|RemFeeLogDir|Char|/mnt/store/xfergw/Siirtokansio9/out/|Reminder fee log transfer dir
Invoice|RemFeeLogFile|Char|/apps/var/tmp/reminder_fee_#DATE.csv|Reminder fee creation log file
InvPrint|DataRowItems|Char||Billcodes for data rows
InvPrint|InvoiceToRevolverLog|Char|/apps/var/log/invoice_to_revolver.log|File path of invoice xml sending to revolver for PDF print
InvPrint|InvPrintErrorFile|Char||Error log
InvPrint|InvPrintFile|Char|INVOICE.#YYYYMMDD.#SEQ.XML|File name
InvPrint|InvPrintTransDir|Char|/apps/filetransfer/put/itellabill/|Transfer dir for doc1 invoices
InvPrint|InvShowPeakAmount|Char|BIG6,BIG8,BIG106,BIG108|Billing item groups for which on/off peak amounts are shown
InvPrint|InvUsageSection|Char|IC13|Invoice section for usage
InvPrint|NoPrintCust|Char||Customers that crash C.R.PDF
InvPrint|XML2MQ.SendPause|Int|5|Pause X seconds before sending next batch of XML to MQ[Revolver]
InvRowCounter|ChkBilledIRCounterDir|Char|/mnt/store/print/log/countercheck/billed|Dir for log files
InvRowCounter|ChkUnbilledIRCounterDir|Char|/mnt/store/print/log/countercheck/processing|Dir for log files
InvRun|SplitInvRunArc|Char|/data/tms/log/invrun/processed|Acrhive for inv.run sp
Invrun|SplitInvRunDir|Char|/data/tms/log/invrun|Directory for split fi
InvRun|SplitNoCallCust|Int|1000|Max. qty of customers / file
MobBilling|DefBillStatDir|Char||Default Billing Statreport dir
MobBilling|DefMSISDNPr|Char|041|Default MSISDN Number Prefix
MobRating|DefCCode|Char|34|Default Country Code
MobRating|ErrCDouble|Int|8001|'Error' code for double mcdr
MobReport|HideBNumber|Int|3|
MobSub|DCFPrefix|Char|042|Prefix for DCF
MobSub|MSAddressChg|Char|admin|Password for address change
MobSub|MSTimeLabelChg|Char|admin|Password for time label change
Monitor|StatFileDir|Char|/opt/tools/monitoring/rbs|StatFileDir
Monitoring|DashboardDir|Char|/opt/tools/monitoring/billing|Directory for zip monitor dashboard
Monitoring|MonitorDir|Char|/apps/var/run|Dir for monitoring file for nagios
Nagios|MonitorMethod|Char|File|Monitoring method for nagios
Nagios|NagiosURL|Char|-H 145.247.16.93 -S 5501|URL FOR NAGIOS
NAGIOS|Operator|Char|DNA|Nagios Operator
NAGIOS|TimeOffSet|Int|0|Nagios time offset
NAGIOS|URL|Char|-H 145.247.16.93 -S 5501|URL for Nagios FTP
NCDevices|NCFeeModel|Char|NCDATADEVOTC,NCMOBDEVOTC|Device FeeModel w/o contract
nnohti|oh-tuasno|Char|999|Unknown c.
OM.Interface|OM.webservice.url|Char|http://172.20.34.69:80/OMServiceProvider/OMService?wsdl|
OwnUse|OwnUseInvGroup|Char|OWNB2B,OWNB2C,TESTI|List of own usage invoice groups
OwnUse|OwnUsePaymType|Char|11|List of own usage payment types
Payment|PaymFileArc|Char|/mnt/store/rbs/intrum/in/processed|Archive dir for payment files
Payment|PaymFileLog|Char|payment_file_#DATE_#TIME.txt|Log file for payment read
Payment|PaymFileLogDir|Char|/mnt/store/print/|Directory for log file
Payment|PaymFileLogTrans|Char||Transfer dir for log files
Payment|PaymFiles|Char||Payment files
Payment|UpfJournalDir|Char|/mnt/store/xfergw/Siirtokansio2/out/|Upfront journal transdir
Payment|UpfJournalFile|Char|/apps/var/tmp/upfront_payment_journal_#PERIOD_#TODAY.csv|Upfront Journal File
PaymPlan|PPaymBatch1Amt|Char|/apps/var/tmp/upfront_payment_journal_#PERIOD_#TODAY.csv|Amount for batch 1
PaymPlan|PPaymBatch2Due|Int|29|Due date for part payment
PaymPlan|PPBankDays|Int|3|Bank days after due date
PaymPlan|PPBatchAmt|Char||Min amounts for batch dividing
PaymPlan|PPBatchFee|Char||Fees for batches
PaymPlan|PPBFAccNum|Int|99999|Account for batch fee
PaymPlan|PPDueDateChg|Int|22|Due date transfer (days)
PaymPlan|PPDueDateLimit|Int|13|Max. days after orig. due date
PaymPlan|PPlanServKey|Char|PAYMPACTCM|Paymentplan servicefee key
PaymPlan|PPPaymTerm|Char||Payment terms for batches
PerContract|DATAOTC0|Char|NCDATADEVOTC|Data device OTC for 0 months
PerContract|DATAOTC12|Char|DATADEVOTC12|Data device OTC for 12 months
PerContract|DATAOTC24|Char|DATADEVOTC24|Data device OTC for 24 months
PerContract|DATARC12|Char|DATADEVRC12|Data device RC for 12 months
PerContract|DATARC24|Char|DATADEVRC24|Data device RC for 24 months
PerContract|DATATPRC12|Char|TERMPAYM12DATA|Term paym data RC 12 months
PerContract|DATATPRC18|Char|TERMPAYM18DATA|Term paym data RC 18 months
PerContract|DATATPRC24|Char|TERMPAYM24DATA|Term paym data RC 24 months
PerContract|DATATPRC36|Char|TERMPAYM36DATA|Term paym data RC 36 months
PerContract|DATATPRC6|Char|TERMPAYM6DATA|Term paym data RC 6 months
PerContract|DeviceContract12|Char|DEVICEOTC12|12 months with one time charge
PerContract|DeviceContract24|Char|DEVICEOTC24|24 months with one time charge
PerContract|DeviceContractRC12|Char|DEVICERC12|12 months with recurring fees
PerContract|DeviceContractRC24|Char|DEVICERC24|24 months with recurring fees
PerContract|MOBILEOTC0|Char|NCMOBDEVOTC|Mobile device OTC for 0 months
PerContract|MOBILEOTC12|Char|DEVICEOTC12|Mobile device OTC for 12months
PerContract|MOBILEOTC24|Char|DEVICEOTC24|Mobile device OTC for 24months
PerContract|MOBILERC12|Char|DEVICERC12|Mobile device RC for 12 months
PerContract|MOBILERC24|Char|DEVICERC24|Mobile device RC for 24 months
PerContract|MOBILETPRC12|Char|TERMPAYM12VOICE|Term paym mobile RC 12 months
PerContract|MOBILETPRC18|Char|TERMPAYM18VOICE|Term paym mobile RC 18 months
PerContract|MOBILETPRC24|Char|TERMPAYM24VOICE|Term paym mobile RC 24 months
PerContract|MOBILETPRC36|Char|TERMPAYM36VOICE|Term paym mobile RC 36 months
PerContract|MOBILETPRC6|Char|TERMPAYM6VOICE|Term paym mobile RC 6 months
PerContract|ServiceContracts|Char|DATASER,VOICESMS|Custom service contracts list
PerContract|SubsMonthlyFee|Char|SUBSRECURCHARGE,RCDATASER*,RCVOICESMS*|Fee model used for subscription's monthly fees (list)
Printing|MailArcDir|Char||Archive dir for mail prints
Printing|MailPrintFile|Char||File for email print
Rating|BotTriggerLimit|Int|1000|Limit for SMS bursts
Rating|CDRstreamCounter|Char|/opt/tools/monitoring/cdr/cdrstream_counter.txt|CDR stream counter output dir
Rating|CommonB2BPriceList|Char|1COMMON|Common pricelist for B2B
Rating|CommonFeePriceList|Char|COMMON|Common pricelist for fees
Rating|ExclusionList|Char|0449772859,0442374259,0442399120,0449813276,0445134915,0449781156|Clis left out from alerts
Rating|KPICDRFileName|Char|/opt/tools/monitoring/cdr/kpi_counter.txt|KPI-report file
Rating|KPICDRHandleTime|Int|900|Acceptable duration for Rating
Rating|KPIErrorFileName|Char|/opt/tools/monitoring/cdr/kpirate_errorcounter.txt|KPI Errorfile name
Rating|KPIYesterdayFileName|Char|/opt/tools/monitoring/cdr/kpirate_#YESTERDAY.txt|KPI rating capacity
Rating|RoamCDRAlert|Char|/opt/tools/monitoring/cdr/kpirate_#YESTERDAY.txt|Price of CDR to trigger alert
Rating|TMqueueFileName|Char|/opt/tools/monitoring/cdr/tmqueue.txt|TMQueue monitoring file
Rating|WeekEndBegin|Char|7:00|weekend starts (wd:hour)
Rating|WeekendEnd|Char|1:24|weekend ends   (wd:hour)
Refund|RefundApprovalLimit|Char|1:24|Limit for manual approval
Refund|RefundBalAcc|Int|13131313|Refund balance account
Refund|RefundDir|Char|/apps/filetransfer/rsync/|Refund directory
Refund|RefundErrorFile|Char|/apps/filetransfer/rsync/|Refund error log
Refund|RefundFile|Char|/apps/filetransfer/rsync/REFUND_|File for refund payments
Refund|RefundFileDays|Char|5,20|File creation days
Refund|RefundTransDir|Char||Transfer directory for refunds
REPORT|ActSubsReportDir|Char|/mnt/store/rbs/reports/|Active subscription count dir
Report|BillItemTrendTestDir|Char|/mnt/store/print/report|Billing trend from test bills
Report|BillQualityFileName|Char|/apps/dna/var/tmp/billing_report_#INVDATE_#MODE.txt|File name for quality report
Report|BillQualityTransDir|Char|/mnt/store/print/report|Trans dir for quality report
Report|BillRepFileName|Char|/apps/dna/var/tmp/billing_report_#INVDATE.txt|File name for billing report
Report|BillRepTransDir|Char|/mnt/store/print/report|Transfer dir for billing repor
Report|CCNReportFile|Char|/apps/dna/var/tmp/billing_item_totals_#DATE.txt|File name for CCN report
Report|CCNReportTrans|Char|/mnt/store/print/report|Transfer dir for CCN report
Report|CustSearchFileName|Char|/apps/dna/var/tmp/customer_search_#DATE_#TIME.csv|File name for customer search report
Report|CustSearchTransDir|Char|/mnt/store/rbs/billing|Transfer dir for customer search report
Report|CustSumRepFileName|Char|/apps/var/tmp/customer_#CUSTID_report_summary#MAIN.csv|File name for customer/contract summary
Report|CustSumRepTransDir|Char|/mnt/store/print/report|Transfer dir for customer/contract summary
Report|SaldoListTestTrans|Char|/mnt/store/test/saldolist/|TransferDir for saldo list test and verify runs
Report|SaldoListVerifyFile|Char|/apps/dna/var/tmp/saldo_dump_#INVGROUP_#DATE_#RUNDATE_#RUNTIME.txt|TransferDir for saldo list test and verify runs
Reports|AgeAnalFileName|Char|/apps/var/tmp/ageanal_#MODE_#DATE_#TIME.csv|Age analysis report file name
Reports|AgeAnalTransDir|Char|/mnt/store/xfergw/Siirtokansio8/out|Transfer dir for age analysis
Reports|BIGroupSalesFileName|Char|/apps/dna/var/tmp/dnapro_bigroup_sales_#RUN_#DATE_#TODAY.dat|File name for bi.group sales
Reports|BIGroupSalesTransDir|Char|/mnt/store/xfergw/Siirtokansio2/gledger|Transfer dir for bi.group sls
Reports|BilledBillItemsFileName|Char|/apps/dna/var/tmp/dnapro_billed#RUN_#MONTH_#DATE_#TIME.dat|File name for billed bill item
Reports|BilledBillItemsTransDir|Char|/mnt/store/xfergw/Siirtokansio2/gledger|Trans dir for billed bill item
Reports|BilledRevRounding|Char|/mnt/store/xfergw/Siirtokansio2/gledger|Rounding limit per invoice
Reports|BillItemTrendFileName|Char|/apps/dna/var/tmp/dna_billed_trend_#DATE_#TIME.txt|File name for billing item trend report
Reports|BillItemTrendTransDir|Char|/mnt/store/xfergw/Siirtokansio3/out|Transfer dir for billing item trend report
Reports|CustInvgCatUpdateA|Char|/mnt/store/xfergw/Siirtokansio3/out/customer_changes_#RUNMODE_#DATAPERIODSTART_#DATAPERIODEND_#RUNDATE.csv|Output directory for Customer's InvGroup or Category Update report. Automated run.
Reports|CustInvgCatUpdateM|Char|/mnt/store/print/report/customer_changes_#RUNMODE_#DATAPERIODSTART_#DATAPERIODEND_#RUNDATE.csv|Output directory for Customer's InvGroup or Category Update report. Manual run.
Reports|CustInvgCatUpdateT|Char|/mnt/store/rbs/billing/testing/customer_changes_#RUNMODE_#DATAPERIODSTART_#DATAPERIODEND_#RUNDATE.csv|Output directory for Customer's InvGroup or Category Update report. Test run.
Reports|ErrorLogMonitorActions|Char|INVEXTID,BILLREVENUE,UNBILLEDREV|List of actions to be monitored
Reports|ErrorLogMonitorFile|Char|/apps/dna/var/tmp/errorlog_monitor.txt|File name for error log monitoring
Reports|ErrorLogMonitorTime|Char|17-02-2017 14:40:01|Latest reporting time
Reports|ErrorLogMonitorTrans|Char|/mnt/store/control/errorlog|Transfer dir for error log monitor file
Reports|ErrorLogRepActions|Char|TEAPPSXML,INVEXTID,CALLITEM,BILLREVENUE,CALLSPECBULK,INVOICEXML,UNBILLEDREV,INVOICESMS|Action IDs to be reported
Reports|ErrorLogRepFile|Char|/apps/dna/var/tmp/errorlog_#ACTION_#DATE.txt|File name for errorlog report
Reports|ErrorLogRepRecipient|Char|dnapro.billing@qvantel.com|Mail recipient for errorlog re
Reports|ErrorLogRepTransDir|Char|/mnt/store/print/log/errorlog|Transfer dir for errorlog repo
Reports|FonectaControlFileName|Char|/apps/dna/var/tmp/directory_services_modifications_#TODAY_#TIME.txt|File name for fonecta control
Reports|FonectaControlTransDir|Char|/mnt/store/xfergw/Siirtokansio1/out|Transfer dir for fonecta ctrl
Reports|FSecureContract|Char|SEC*|FSecure contract IDs
Reports|FSecureQtyFileName|Char|dnapro_fsecure_contracts_#YYYYMMDD.dat|File name for fsecure report
Reports|FSecureQtyTransDir|Char|/mnt/store/xfergw/Siirtokansio4/out|Transfer dir for fsecure repor
Reports|InvJourCtrlTransDir|Char|/mnt/store/print/report|Transfer dir for control repor
Reports|InvJourFile|Char|/apps/dna/var/tmp/#INVTYPEIDdnapro_invjour_#METHOD_#DATE.dat|File name for inv.journal
Reports|InvJourTransDir|Char|/mnt/store/xfergw/Siirtokansio2/gledger|Transfer dir for inv.journal
Reports|OverPaymBalFile|Char|/apps/dna/var/tmp/Overpayment_balance_#DATE_#TIME.txt|Overpayment balance report filename
Reports|OverPaymBalTrans|Char|/mnt/store/xfergw/Siirtokansio2/out/|Trans dir for Overpayment balance report
Reports|OverPaymReportFile|Char|/apps/dna/var/tmp/dnapro_overpayment_#DATE.dat|File name for overpaym report
Reports|OverPaymReportTrans|Char|/mnt/store/xfergw/Siirtokansio2/gledger|Transfer dir for overpaym repo
Reports|PaymJournalCopyDir|Char|/mnt/store/xfergw/Siirtokansio8/out/|Copy dir for (mothly paymjournal)
Reports|PaymJournalCtrlTrans|Char|/mnt/store/print/report|Transfer dir for control repor
Reports|PaymJournalDailyTrans|Char|/mnt/store/xfergw/Siirtokansio8/out/|Daily paymjournal transdir
Reports|PaymJournalFile|Char|/apps/dna/var/tmp/dnapro_paymjour_#PERIOD_#METHOD_#DATE.dat|Filename for Paym Journal
Reports|PaymJournalTrans|Char|/mnt/store/xfergw/Siirtokansio2/gledger|transfer dir of paym journal
Reports|RatingKPIReport|Char|/apps/var/tmp/rating_kpi_#PERIOD.csv|Rating KPI Report file
Reports|RatingKPITransDir|Char|/mnt/store/kpi_reports/|Rating KPI Report transferdir
Reports|RevenueJournalFileName|Char|/apps/dna/var/tmp/revenue_journal_#MODE_#INVGROUP_#PERIOD.csv|File name for revenue invoice journal
Reports|RevenueJournalTransDir|Char|/mnt/store/xfergw/Siirtokansio2/out|Transfer dir for revenue invoice journal
Reports|SaldoListCredPaymSrcs|Char|IN50,MP50,CR|Comma separated list of credit related payment sources
Reports|SaldoListDiffFile|Char|/apps/dna/var/tmp/saldo_diff_#INVGROUP_#DATE_#RUNDATE_#RUNTIME.txt|File stores records with different saldo evaluations: balance report and saldo dump
Reports|SaldoListExclOwnUse|Int|1|1=exclude own use, 0=include own use
Reports|SaldoListFile|Char|/apps/dna/var/tmp/balance_report_detail_#INVGROUP_#DATE_#RUNDATE_#RUNTIME.txt|Filename for balance list report
Reports|SaldoListSummaryFile|Char|/apps/dna/var/tmp/balance_report_summary_#INVGROUP_#DATE_#RUNDATE_#RUNTIME.txt|Filename for balance list summary report
Reports|SaldoListTrans|Char|/mnt/store/xfergw/Siirtokansio8/out/|Trans dir for saldo balance list report
Reports|SpecSkipProd|Char|MNF|Products skipped on specific.
Reports|TempInvJournalFile|Char|/apps/dna/var/tmp/tempinvjournal.txt|Temporary File for Invoice Journals
Reports|TempJournalFile|Char|/mnt/store/print/report/tempjournal.txt|Temporary File for Journals
Reports|TempPaymJournalFile|Char|/apps/dna/var/tmp/temppaymjournal.txt|Temporary File for Payment Journals
Reports|UnbilledSubsFileName|Char|/apps/dna/var/tmp/unbilled_subs_#PERIOD_#INVGRP.txt|File name for unbilled subs
Reports|UnbilledSubsTransDir|Char|/mnt/store/print/report|Transfer dir for unbilled subs
RequestRunner|MoveToHandledDays|Int|32|Nbr of days to keep reqs in state 0 after actdate
Revolver.Interface|RevToRBS.IP|Char|mqueue|ActiveMQ server IP for i/f with Revolver
Revolver.Interface|RevToRBS.Port|Int|61613|I/F port for receiving messages from queue rev_rbs
Revolver.Interface|RevToRBS.QName|Char|rev_rbs|Queue name for reading revolver messages
Revolver.Interface|RevToRBS.SessionLimit|Int|100|Listener session restart limit in seconds
Revolver.Interface|RevToRBS.Timeout|Int|2|Timeout value for queue rev_rbs
ServiceBreak|Activation|Char|0|ServiceBreak for activation
SIMCHANGE|RestrictedPrefix|Char|633|Restricted MSISDN prefixes
SMS|ContractPenaltyText|Char|ContractPenalty|Text for device penalty sms
SMS|IRACharFile|Char|/apps/tms/Gwy/irachar.txt|IRA characters
SMS|ScheduledCallAlarm|Char|5,7,71|Scheduled call alarm credit types list
SMS|SMSMaxLength|Int|640|Maximum SMS text length
SOG|LogDirectory|Char||Directory for log files
subser|DataNumber|Int|0|
Subser|DCF-Number|Char|0|Default call forwarding no
SubsTerm|cancel_nocharge|Char|13|Order cancel deact all
SubsTerm|cancel_retain_nocharge|Char|14|Order cancel deact all not dev
SubsTerm|cancel_returned_nocharge|Char|13|Order cancel deact all
SubsTerm|debt_charge|Char|4|Debt Termination
SubsTerm|debt_retain_charge|Char|4|Debt Termination
SubsTerm|expuser_nocharge|Char|24|Experiment period cancel, deact. all
SubsTerm|expuser_returned_nocharge|Char|24|Experiment period cancel, deact. all
SubsTerm|mnp_charge|Char|2|Term due to MNP outporting
SubsTerm|mnp_retain_charge|Char|2|Term due to MNP outporting
SubsTerm|operator_charge|Char|22|Order terminated by CSP
SubsTerm|operator_nocharge|Char|15|OrderTerm CSP deact all
SubsTerm|operator_retain_charge|Char|22|Order terminated by CSP
SubsTerm|operator_retain_nocharge|Char|16|OrderTerm CSP deac all not dev
SubsTerm|operator_returned_charge|Char|27|Deactivate device, not subscription
SubsTerm|operator_returned_nocharge|Char|15|OrderTerm CSP deact all
SubsTerm|salesperson_nocharge|Char|26|SalesPerson cancelled device contract, deact. device
SubsTerm|salesperson_returned_nocharge|Char|26|SalesPerson cancelled device contract, deact. device
SubsTerm|user_charge|Char|1|Termination by customer
SubsTerm|user_retain_charge|Char|1|Termination by customer
Subvention|SubvCalcLogFile|Char|/apps/dna/var/tmp/subvention_calculation_#DATE_#TIME.txt|Log file for subvention calculation
Subvention|SubvCalcLogTrans|Char|/mnt/store/print/log/subvention|Transfer dir for subvention log
System|AdminUser|Char|admin|Password for admin user
System|AsterixDarProject|Char|10803|Asterix project for AR issues
System|AsterixDarResponsible|Char|customer_dna_myyntireskontra|Asterix responsible for Ar issues
System|AsterixPass|Char|R8Spa55wd|Password for asterix
System|AsterixTestProject|Char|10700|Asterix project for AR issues
System|AsterixTestResponsible|Char|seppokol|Asterix responsible for Ar issues
System|AsterixUser|Char|RBS_patch|Userid for asterix
System|CountryCodeDef|Char|FI|Default Country Code
SYSTEM|DBHostName|Char||HostName of DB server
SYSTEM|DefClStamp|Char|20521231.86399|Default closing timestamp
System|DeletePwd|Char|delete|Password for serious delete
System|EMailMethod|Char|SMTP|Method to send eMail
system|EventlogDir|Char|/apps/dna/var/log/|Eventlog directroy
System|PaymPlanCreditControl|Char|creditpw|Password for pplan credit cont
System|RepConfDir|Char|/apps/dna/tms/mail|Configuration directory
System|SystemTempDir|Char|/apps/var/tmp/|Path for system temp directory
System|TestUser|Char|trel2testi|Password for testing
Temp|DNR471_FirstRun|Char|FALSE|DNR471_FirstRun
TMSPASS|PassWdExpireNotify|Int|5|Notify in days password expiry
TMSPASS|PassWdHistory|Int|4|Password history length
TMSPASS|PassWdValidDays|Int|120|Password expirates in days
TMT|TMQueueInterval|Int|20|Interval for TMQueue analysis
XML|BigPdfsCount|Int|15|Biggest PDFs count
XML|BigPdfsDir|Char|/mnt/store/xfergw/Siirtokansio9/out/|Biggest pdfs dir
XML|CallItemFile|Char|/mnt/store/print/callitemization/spool/call_itemization_#INVNUM_#MSISDN_#USER.xml|File name for call itemization
XML|CallItemFormatted|Int|1|1=formatted, 0=not formatted
XML|CallItemPDFScript|Char|/opt/qvantel/cr/runDNAitemization.sh -s #SOURCE -o #TARGET|Script for PDF creation
XML|CallItemPDFTestTransDir|Char|/mnt/store/print/callitemization/test/cache/|Transfer dir for PDF files
XML|CallItemPDFTransDir|Char|/mnt/store/print/callitemization/cache/|Transfer dir for PDF files
XML|CallItemTestTransDir|Char|/mnt/store/print/callitemization/test/#BILLMONTH/#FF/#SS|Transfer dir for test itemiz.
XML|CallItemTransDir|Char|/mnt/store/print/callitemization/#BILLMONTH/#FF/#SS|Transfer dir for itemization
XML|CallItemVersion|Char|3.4|Version for itemization
XML|CommissionInvXMLFile|Char|/mnt/store/print/xmlspool/DNA_#HEADER_#SALESCHAINID_#INVNUM_#IDATE.xml|Commission invoice XML file
XML|CommissionXMLTransDir|Char|/mnt/store/print/commission/xmlstore/#BILLRUN|Commission XML transfer dir
XML|CommItemPDFTestTransDir|Char||Commission item test PDF dir
XML|CommItemPDFTransDir|Char||Commission item PDF trans dir
XML|CommItemXMLFile|Char||Commission itemization XML file
XML|CommItemXMLTestTransDir|Char||Commission item test XML dir
XML|CommItemXMLTransDir|Char||Commission item XML trans dir
XML|CommPDFTestTransDir|Char|/mnt/store/print/commission/pdfstore/test/#BILLRUN|Commission test PDF trans dir
XML|CommPDFTransDir|Char|/mnt/store/print/commission/pdfstore/#BILLRUN|Commission PDF trans dir
XML|CommXMLTestTransDir|Char|/mnt/store/print/commission/xmlstore/test/#BILLRUN|Commission XML test trans dir
XML|FullBNumCallItemFile|Char|/mnt/store/print/callitemization/spool/full_call_itemization_#INVNUM_#MSISDN_#USER.xml|File name for full b-number call itemization
XML|FullBNumCallItemTransDir|Char|/mnt/store/print/callitemization/temp|Trans dir for full b-number call itemization
XML|InvoicePDFBatchQty|Int|1000|PDF printing batch
XML|InvoicePDFScript|Char|/opt/qvantel/cr/runDNAinvoice.sh -s #SOURCE -o #TARGET|command to convert xmls to pdf
XML|InvPDFTestTransDir|Char|/mnt/store/print/xmlstore/cache/test/#BATCHID/|Transfer dir for test pdfs
XML|InvPDFTransDir|Char|/mnt/store/print/xmlstore/cache/#BATCHID/|Transfer dir for pdf invoices
XML|INVTEAPPSXMLFile|Char|/mnt/store/print/teappsxmlstore/spool/DNA_PRO_#INVNUM.xml|File name
XML|INVTEAPPSXMLFormatted|Int|1|1=formatted, 0=not formatted
XML|InvTEAPPSXMLNetServiceID|Char|00370592509640|Net service ID
XML|InvTEAPPSXMLPrintHouse|Char|Opuc Capita|Printhouse name
XML|INVTEAPPSXMLTestTransDir|Char|/mnt/store/print/teappsxmlstore/test/#BILLRUN|Dir for test invoices
XML|INVTEAPPSXMLTransDir|Char|/mnt/store/print/teappsxmlstore/#BILLRUN|Transfer dir for xml invoices
XML|INVTEAPPSXMLVersion|Char|2.7.2|Version for XML
XML|InvXMLFile|Char|/mnt/store/print/xmlspool/DNA_PRO_#INVNUM.xml|File name
XML|InvXMLFormatted|Int|1|1=formatted, 0=not formatted
XML|InvXMLHideBSub|Int|1|Hide b-numbers in invoice XML
XML|InvXMLPrintCDRs|Int|0|Print CDRs to invoice XML
XML|InvXMLScreenCommand|Char|screen #NAME -T xterm xfear -screen Inv/print_invoice_batch.p tms.pf -param #PARAM|Screen start command
XML|InvXMLTestInvDir|Char|/mnt/store/print/xmlstore/test|Dir for test invoices
XML|InvXMLTestTransDir|Char|/mnt/store/print/xmlstore/test/#BILLMONTH/#FF/#SS|Dir for test invoices
XML|InvXMLTransDir|Char|/mnt/store/print/xmlstore/#BILLMONTH/#FF/#SS|Transfer dir for xml invoices
XML|InvXMLVersion|Char|3.5|Version for XML
XML|InvZipDelay|Int|10|Wait seconds zip creation
XML|InvZIPFile|Char|/apps/dna/var/tmp/DNA_PRO_#TODAY_#NOW.zip|File for zipped pdf invoices
XML|InvZipMaxQty|Int|1000|Max qty of invoices in one zip
XML|InvZipTestFile|Char|/mnt/store/rbs/printhouse/test/DNA_PRO_#TODAY_#NOW.zip|Transfer dir for test zip file
XML|InvZipTrans|Char|/mnt/store/rbs/invoices/out|Transfer dir for zip file
XML|ReminderFeeCodes|Char|OTCREMFEE,OTCREMFEE2|Reminder fee billcodes
XML|ResellerInvPDFScript|Char|��/opt/qvantel/cr/runDNAinvReseller.sh -s #SOURCE -o #TARGET                    │|Command to make pdf from xml
XML|RevolverInvListFile|Char|/mnt/store/print/tmp/pdf_list_#DATE_#NOW.txt|
XML|RSInvPDFTestTransDir|Char|/mnt/store/print/xmlstore/test/#BILLRUN/|Reseller test invoice PDF directory
XML|RSInvPDFTransDir|Char|/mnt/store/print/xmlstore/#BILLRUN/|Reseller Invoice PDF Directory
XML|SubventionInvXMLFile|Char|/mnt/store/print/xmlspool/DNA_#HEADER_#SALESCHAINID_#INVNUM_#IDATE.xml|Subvention invoice XML file
XML|SubventionXMLTransDir|Char|/mnt/store/print/subvention/xmlstore/#BILLRUN|Subvention XML transfer dir
XML|SubvItemPDFTestTransDir|Char||Subvention item test PDF dir
XML|SubvItemTestTransDir|Char||Subvention item test XML dir
XML|SubvItemTransDir|Char||Subvention item XML trans dir
XML|SubvItemXMLFile|Char||Subvention item XML file
XML|SubvItemXMLTestTransDir|Char||Subvention item test XML dir
XML|SubvItemXMLTransDir|Char||Subvention item XML trans dir
XML|SubvPDFTestTransDir|Char|/mnt/store/print/subvention/pdfstore/test/#BILLRUN|Subvention test PDF trans dir
XML|SubvPDFTransDir|Char|/mnt/store/print/subvention/pdfstore/#BILLRUN|Subvention PDF trans dir
XML|SubvXMLTestTransDir|Char|/mnt/store/print/subvention/xmlstore/test/#BILLRUN|Subvention XML test trans dir
