Menu Level|Menu place|MENU- number|Label|Function type|Module|Function code|Function name|Program Class|Deny usage|Token code
121|5|1514|LANGUAGE |1|Mc/language.p|cu-lang|Languages|9999|no|MAIN
121|8|8|RETURN |3||||9999|no|CC
1217|8|8|RETURN |3||||9999|no|CC
123|1|875|INVOIC. GROUPS|1|Mc/nnigyp.p|cu-ig|Invoicing group file, update|9999|no|MAIN
123|2|520|EXT.CUST GROUPS|1|Mc/nncgro.p|cu-eg|External Customer Groups|9999|no|CC
123|8|8|RETURN |3||||9999|no|CC
124|8|8|RETURN |3||||9999|no|CC
125|1|1736|SUMMARY BY CCN|1|Inv/nnprky3.p|cr-bit|Calls Sorted by BillItem / CCN|9999|no|VENDOR
125|3|1738|UNIT PR. SPECIF.|1|Inv/nnprky4.p|cr-pri|Specification with unit prices|9999|no|VENDOR
125|5|1033|CLI / CCN|1|Inv/nnprky3.p|cr-clic|Calls Sorted by CLI / CCN|9999|no|CC
125|8|8|RETURN |3||||9999|no|CC
1251|8|8|RETURN |3||||9999|no|CC
1252|8|8|RETURN |3||||9999|no|CC
1253|8|8|RETURN |3||||9999|no|CC
1254|8|8|RETURN |3||||9999|no|CC
127|1|1842|CUSTOMER SUMMARY|1|Ar/customer_contract_summary_ui.p|cusum|Customer/contract Summary|9999|no|AR
127|8|8|RETURN |3||||9999|no|CC
13|1|1882|MOBILE FILES|2||mco-|Mobile Codes|9999|no|SYST
13|2|1884|BILLING DATA|2||mra-|Mobile Rating Data|9999|no|SYST
13|3|259|MOBILE SUBSCRIP|2||mo-su|Mobile subscribers and subscriptions|9999|no|MOB
13|4|738|CALL DATA|2||call-dat|MOBILE CALL DATA|9999|no|VENDOR
13|6|201|MSISDN NOS.|2||md-ms|MSISDN NUMBER HANDLING|9999|no|MAIN
13|7|239|MOBILE SERVICE|2||ms-mse|MOBILE SERVICES|9999|no|SYST
13|8|8|RETURN |3||||0|no|MOB
131|1|293|RATING ERRCODES|1|Mm/mrerr.p|mra-er|Mobile Rating Error Codes, update|9999|no|MOB
131|2|2205|SUBSCR. TYPES|1|Mm/clitype.p|mo-clty|CLI Types|9999|no|MOB
131|3|1340|BNET & PLMN|2||mco-pc|PLMN & COUNTRY|9999|no|MOB
131|4|1141|BILL.OBJ TYPE|1|Mm/obitype.p|obi-type|Type of Billing Object|9999|no|MOB
131|5|2951|MATRIX |1|Mm/matrix.p|matrix|MATRIX|9999|no|MOB
131|7|1370|TECHNICA CALLCASE|1|Mc/tcc.p|tcc|TCC Maintenance|9999|no|VENDOR
131|8|8|RETURN |3||||0|no|MOB
1313|1|1513|COUNTRY |1|Mc/country.p|mco-co|Country Codes|9999|no|MOB
1313|2|1341|PLMN CODES|1|Mm/plmn.p|co-plmn|PLMN Codes|9999|no|MOB
1313|3|2452|ROAMING ZONE|1|Mm/roamzone.p|roamzone|ROAMZONE|9999|no|MOB
1313|4|2451|ROAM.RAT DESTINAT|1|Mm/allrzitem.p|rzitem|RZITEM|9999|no|MOB
1313|5|2472|ROAMDATA RATES|1|Mc/allplmnrate.p|plmnrate|PLMN RATES|9999|no|MOB
1313|6|2882|TELECOMP CODE|1|Mm/telecompany.p|telecomp|TELECOMPANY CODES|9999|no|Mob
1313|8|8|RETURN |3||||9999|no|MOB
132|2|2117|FREE AIRTIME|2||mbi-fat|Free AirTime|9999|no|MOB
132|4|2134|SERVLIMI MAINTENA|2||servicel|SERVICELIMIT MAINTENANCE|9999|no|mob
132|5|2960|TICKET MANAGEME|2||TMT|Ticket Management tools|9999|no|MOB
132|7|2422|HIGHSPEN MAINTENA|2|HIGHSPENDER|highspe||9999|no|mob
132|8|8|RETURN |3||||0|no|MOB
13217|8|8|RETURN |3||||9999|no|MOB
1322|1|1451|FATIME GROUP|1|Mm/ftgrp.p|ft-grp|FreeAirTime Group|9999|no|MOB
1322|2|1452|FATIME MEMBER|1|Mm/ftgmember.p|ft-membe|FreeAirTime Members|9999|no|MOB
1322|3|1453|FATIME EVENT|1|Mm/fatimeall.p|fa-event|FreeAirTime Event|9999|no|MOB
1322|8|8|RETURN |3||||8888|no|MOB
13227|8|8|RETURN |3||||9999|no|MOB
1323|3|1110|SINGLE FEES|1|Mc/bitem.p|mbi-ob|Browse All Billable Items|9999|no|MOB
1323|4|1111|ALL CONT FEES|1|Mc/nncoyp.p|mbi-cf|All Contract Fees|9999|no|MOB
1323|8|8|RETURN |3||||9999|no|
1324|1|2132|SERVICE LIMIT|1|Mm/servicelimit1.p|mbi-serv|ALL SERVICES|9999|yes|mob
1324|4|1043|PERIODIC CONTRACT|1|Mm/daycampaign.p|percont|Periodical Contracts|9999|no|MOB
1324|5|2604|SERVICEL GROUP|1|Mm/servicelimitgroup.p|servlgrp|SERVICELIMIT GROUP|9999|no|MOB
1324|6|2611|SLG ANALYSE|1|Mm/slganalyse.p|slg-anal|SERVICELIMIT GROUP ANALYSE|9999|no|MOB
1324|8|8|RETURN |3||||9999|no|MOB
1325|1|2961|TM QUEUE|1|Mm/tmqueue.p|tmq|Ticket Management Queue|9999|no|VENDOR
1325|2|2962|TM RULES|1|Syst/tmrule.p|tm-rule|TM Rules|9999|no|SYST
1325|8|8|RETURN |3||||9999|no|mob
1327|1|2428|HIGHSPEN CATEGORY|1|Mm/hiusagekat.p|hiusagek|HIGH USAGE KATEGORIES|9999|no|MOB
1327|2|2429|HIGHSPEN LIMITS|1|Mm/hiusagelimit1.p|hiusagel|HIGH USAGE LIMITS|9999|no|mob
1327|3|2422|HIGHSPEN MAINTENA|1|Mm/highusage.p|highspen|HIGHSPENDER MAINTENANCE|9999|no|MOB
1327|8|8|RETURN |3||||9999|no|MOB
133|1|9832|MAIN CONTRACT|1|Mm/maincontr_browser.p|maincntr|MAIN CONTRACT BROWSER|9999|no|MOB
133|2|710|CUSTOM- ERS|1|Mc/customerbr.p|ms-cu|Customers|9999|no|CCSUPER
133|3|259|MOBILE SUBSCRIP|1|Mm/mobsuball.p|ms-su|Mobile Subscriptions|9999|no|MOB
133|4|728|SUPPORT FUNCTION|2||su-fu||9999|no|CC
133|6|1960|MOBSUB HISTORY|1|Mm/termmobsuball.p|ms-term|Terminated mobile subscriptions|9999|no|MOB
133|7|42|PRINT- OUTS|2||ms-pr|PRINTOUTS FROM MOBILE SUBSCRIPTIONS|9999|no|SYST
133|8|8|RETURN |3||||0|no|MOB
1334|2|1065|CUSTOMER REQUESTS|1|Mm/msreqcume.p|ms-creq|Customer Requests|9999|no|CC
1334|3|1066|SUBSCR. REQUESTS|1|Mm/msreqsume.p|ms-req|Subscription Request|9999|no|MOB
1334|4|1067|SERVICE REQUESTS|1|Mm/msreqseme.p|ms-sereq|Service Requests|9999|no|MOB
1334|5|1123|A/R REQUESTS|1|Mm/msreqarme.p|ms-arreq|A/R Requests|9999|no|AR
1334|8|8|RETURN |3||||9999|no|mob
13341|8|8|RETURN |3||||9999|no|MOB
1335|5|2206|ORDERS |2||ord-ku|Order Queues|9999|no|ORDER
1335|6|2851|ORDER REQUEST|1|Mm/msreqorme.p|ord-req|Browse order request type 13|9999|no|MOB
1335|7|9055|ALL ORDERS|1|Mc/orderbrwall.p|ord-all|Orders Browse All|9999|no|ORDER
1335|8|8|RETURN |3||||9999|no|MOB
13355|1|9|NEW NUMBER|1|Mc/orderst1.p|ord-newn|Order Browse of New Number|9999|no|ORDER
13355|2|150|NEW MNP NUMBER|1|Mc/orderst3.p|ord-nmp|Order Browse New MNP Order|9999|no|ORDER
13355|3|9066|HOLD QUEUE|1|Mc/orderst8.p|ord-hold|Order Hold Queue|9999|no|ORDER
13355|4|9047|IN CONTROL|1|Mc/orderst4.p|ord-inco|Order Browse In Control|9999|no|ORDER
13355|5|9061|ORDER QUEUES|1|Mc/orderstat.p|ord-que|Other Order Queues|9999|no|ORDER
13355|7|9045|ORDER HISTORY|2||ord-his|Order Browse History|9999|no|ORDER
13355|8|8|RETURN |3||||9999|no|CC
133557|3|9052|DELIVERD |1|Mc/orderbrwdeliv.p|ord-deli|Order Browse Delivered|9999|no|ORDER
133557|4|9054|CLOSED |1|Mc/orderbrwclosed.p|ord-clos|Order Browse Closed|9999|no|ORDER
133557|8|8|RETURN |3||||9999|no|CC
13356|8|8|RETURN |3||||9999|no|CC
133567|8|8|RETURN |3||||9999|no|CC
1337|4|2226|SUBSCR. REPORT|1|Mm/mobsubrep.p|mob-rep||9999|no|MOB
1337|5|269|COUNT NO OF M.SUB|1|Mm/mscount.p|ms-co|Count Number Of Mobile Subscriptions|9999|no|MOB
1337|8|8|RETURN |3||||9999|no|MOB
134|1|716|CALLS |2|||CALLS|9999|no|VENDOR
134|2|1158|RE-RATE MOBCDR|1|Rate/man_rate.p|rerate|Re-Rate Mobile CDRs|9999|no|VENDOR
134|3|1136|DOUBLE MOBCALLS|1|Mm/nndomco.p|mra-dbl|Search and mark double mobile calls|9999|no|VENDOR
134|4|4001|TRIGGER MAINTENA|2|TRIGGERS|||9999|no|MOB
134|5|9790|RATING HISTORY|2||ratehist|Rating History|9999|no|Syst
134|6|9804|MOB TIME STAMPS|1|Mm/killedmobs.p|ms-hist|Mobile subscription Timestamps|9999|no|VENDOR
134|7|42|PRINT- OUTS|2||||9999|no|VENDOR
134|8|8|RETURN |3||||9999|no|MOB
1341|3|299|ERRONEUS POSTCDRS|1|Mm/moberror.p|mra-ec|Bowse Erroneus Mobile Calls|9999|no|VENDOR
1341|4|120|SUBSCR. CDRS|1|Mm/subscription_cdr_query.p|subscdr|Query Subscription's CDRs|9999|no|VENDOR
1341|8|8|RETURN |3||||9999|no|MOB
1344|1|4003|TRIGGER CONFIGUR|1|Mm/triggerconf.p||tr-conf|9999|no|MOB
1344|8|8|RETURN |3||||0|no|MOB
1345|1|9791|RATING ACTIONS|1|Mm/reratelog.p|ratelog|Rerate Log|9999|no|SYST
1345|2|9790|RATING HISTORY|1|Mm/edrhistory.p|edrhist|EDR Rating History|9999|no|SYST
1345|8|8|RETURN |3||||9999|no|Syst
1347|2|1822|DAILY TOP-10|1|Mm/top10.p|top10|Daily topten|9999|no|MOB
1347|8|8|RETURN |3||||9999|no|MOB
135|8|8|RETURN |3||||0|no|MOB
1351|8|8|RETURN |3||||0|no|MOB
136|1|219|MSISDN ST.CODES|1|Mm/msstat.p|ms-ms|MSISDN Status Codes|9999|no|MAIN
136|2|242|MSISDN CLASSES|1|Mm/msclass.p|ms-msc|MSISDN Classes|9999|no|MAIN
136|8|8|RETURN |3||||0|no|MOB
137|1|264|SERVICE GROUPS|1|Mm/service.p|ms-se|Mobile Services|9999|no|MAIN
137|2|253|SERVICE PACKAGES|1|Mm/servpacm.p|ms-sp|Mobile Service Packages|9999|no|MAIN
137|3|254|SERVPACK ELEMENTS|1|Mm/servelm.p|ms-sel|Elements of Mobile Service Packages|9999|no|MAIN
137|7|267|SERVICE ORD LOG|1|Mm/solog.p|so-log||9999|no|CCSUPER
137|8|8|RETURN |3||||0|no|MOB
14|1|1202|REPORTS |2||adm-rep|Admin Reports|9999|no|ADMIN
14|2|895|COMMISS. |2||commis|COMMISSION AND SUBVENTION|9999|no|COMM
14|3|9021|CCTOOL ADMIN|1|Mc/ccadmintool.p|ccadmin|Charge & Compensation tool|9999|no|CCSUPER
14|4|6900|REQUEST QUEUES|1|Mm/requeuebrowser.p|reque|Request queue menu|9999|no|CCSUPER
14|5|9014|PROCESS CONTROL|2||pc-|Process Control|9999|no|CCSUPER
14|6|9818|ADMIN TOOLS|2||||9999|no|CCSUPER
14|7|9805|CCBS USERS|2||user-|User Maintenance|9999|no|CCSUPER
14|8|8|RETURN |3||||0|no|
141|1|1040|FONECTA |1|Mm/fonectaui.p|fonecta|Fonecta File Creation|9999|no|MOB
141|2|1203|FONECTA CONTROL|1|Mm/fonecta_control_report_ui.p|fon-ctrl|Fonecta Control Report|9999|no|ADMIN
141|4|1201|FSECURE REPORT|1|Mc/fsecure_quantity_ui.p|fsec-rep|FSecure Contract Quantity Report|9999|no|BILL
141|8|8|RETURN |3||||0|no|
142|1|896|COMMISS. RULES|1|Mc/commissionrule.p|commrule|Commission Rule|9999|no|COMM
142|2|879|COMMISS. CALCUL.|1|Mc/commission_calculation_ui.p|commcalc|Commission Calculation|9999|yes|COMM
142|5|1572|SUBVENT. RULES|1|Mc/subventionrule.p|subvrule|Subvention Rule|9999|no|COMM
142|6|1571|SUBVENT. CALCULAT|1|Mc/subvention_calculation_ui.p|subvcalc|Subvention Calculation|9999|yes|COMM
142|8|8|RETURN |3||||9999|no|COMM
145|1|9015|TMT |1|Mm/tmruleselm.p|pc-tmc|Ticket Management Control|9999|no|CCSUPER
145|3|1191|FUNC.RUN CONFIG|1|Syst/funcrunconfig.p|frconf|Function Run Configuration|9999|no|VENDOR
145|4|1192|FUNC.RUN QUEUE|1|Syst/funcrunqueue.p|frqueue|Function Run Queue|9999|no|VENDOR
145|8|8|RETURN |3||||0|no|
146|8|8|RETURN |3||||9999|no|
147|5|2204|CHANGE PASSWORD|1|Syst/pwadmin.p|user-cpw|Change Password|0|no|CCSUPER
147|8|8|RETURN |3||||9999|no|CCSUPER
15|1|1068|ADMIN FUNCTION|2||inv-adm|Admin Functions|9999|no|VENDOR
15|2|957|CONTRACT PAYMENTS|2||if-cp|CONTRACT-BASED PAYMENTS|9999|no|BILL
15|3|798|INFORM. TEXTS|2||if-it|INVOICE TEXTS|9999|no|BILL
15|4|42|PRINT- OUTS|2||if-pr|Invoicing Reports|9999|no|BILL
15|5|794|CREATE INVOICES|2||if-cb|Create invoices ('bills')|9999|no|BILL
15|6|791|INVOICE FILE|1|Ar/nnlayp.p|if-inv|Invoice file; browser|9999|no|BILL
15|7|792|PRINT BILLS|2||if-pb|Print invoices ('bills')|9999|no|BILL
15|8|8|RETURN |3||||9999|no|BILL
151|1|1988|EXTERNAL INV.ID|1|Inv/invoice_extinvid_ui.p|setinvid|Set External Invoice ID|9999|no|VENDOR
151|2|2782|ALLOW TRANSFER|1|Inv/invoice_deliverystate_ui.p|ifstrans|Set Invoice Delivery State|9999|no|VENDOR
151|3|2783|ALLOW WEB DISP|1|Inv/invoice_webdisp_ui.p|webdisp|Allow Web Visibility|9999|no|VENDOR
151|4|2781|INVTARG. GROUP|1|Mc/invoicetargetgroupm.p|invtargg|Invoice Target Groups|9999|no|VENDOR
151|5|986|CHANGE INV.DATE|1|Inv/nnidch.p|if-cd|Change invoices' dates|9999|no|BILL
151|6|159|PRINT- OUTS|2|||Various printouts|9999|no|VENDOR
151|7|1835|EINVOICE AUTHORIZ|2||einvoice|EInvoice Authorizations|9999|no|BILL
151|8|8|RETURN |3||||9999|no|BILL
1516|1|9819|BILLINFO DUMP|1|Inv/billinfo_dump_ui.p|bill_csv|Dump billingdata csv for CM|9999|no|VENDOR
1516|2|9820|PAYMENTS DUMP|1|Ar/paymentinfo_dump_ui.p|paym_csv|Dump paymentinfo csv for CM|9999|no|VENDOR
1516|3|1651|EVENTMON DUMP|1|Inv/invoice_eventmonth_dump_ui.p|eventm|Event month based invoice dump|9999|no|BILL
1516|8|8|RETURN |3||||9999|no|MAIN
1517|1|1835|EINVOICE AUTHORIZ|1|Inv/einvoiceauth_menu.p|eauth|EInvoice Authorizations|9999|no|BILL
1517|3|1836|READ IN AUTHORIZ|1|Inv/read_einvoice_authorization_ui.p|readeinv|Read Einvoice Authorizations|9999|no|BILL
1517|8|8|RETURN |3||||9999|no|BILL
152|1|907|FIXED FEES|1|Mc/nncoyp.p|cp-cp|Contract payment file update|9999|no|BILL
152|2|1110|SINGLE FEES|1|Mc/bitem.p|mbi-ob2||9999|no|BILL
152|5|295|FEE MODEL|1|Mc/bevent.p|if-bev|Billing Events,Update|9999|no|BILL
152|6|1776|SERVICE FEES|1|Mc/servfee.p|if-sfee|Service Fees|9999|no|CC
152|7|918|REPORT |1|Mc/nncili.p|co-re|Report contract payment definitions|9999|no|BILL
152|8|8|RETURN |3||||9999|no|BILL
153|1|798|INFORM. TEXTS|1|Mc/invotxtc.p|if-txt|Information Texts|9999|no|BILL
153|5|1795|MAIL TEXTS|1|Mc/itsendui.p|if-mail|Send Information Texts Via eMail|9999|no|BILL
153|6|1796|VIEW SEND LOG|1|Mc/itsendlm.p|if-log|View Mail Send Log|9999|no|BILL
153|8|8|RETURN |3||||9999|no|BILL
154|1|1861|BILLING REPORT|1|Inv/billing_report_ui.p|bill-rep|Billing Report|9999|no|BILL
154|2|1866|UNBILLED SUBSCR.|1|Inv/unbilled_subsqty_ui.p|unb-rep|Unbilled Subscriptions Report|9999|no|BILL
154|3|1867|BILLING QUALITY|1|Inv/billing_quality_ui.p|qual-rep|Billing Quality Report|9999|no|BILL
154|4|1032|BILLITEM / CCN|1|Mm/ccnrep.p|ccnbitem|CCN Billing Item Report|9999|no|BILL
154|5|1868|BILLITEM TREND|1|Inv/billitem_trend_ui.p|bitrend|Billing Item Trend Report|9999|no|BILL
154|7|565|OTHER PRINTOUT|2||bi-opr|Other Printouts|9999|no|BILL
154|8|8|RETURN |3||||9999|no|BILL
1547|2|1035|FUTURE BILLING|1|Inv/futbilrel.p|if-fut|Future Billing Report|9999|no|BILL
1547|3|1512|RANKING LIST|1|Mc/nnrank.p|if-rank|Ranking List|9999|no|BILL
1547|8|8|RETURN |3||||9999|no|BILL
155|1|9798|INVOICE TESTING|2||if-test|Invoice Testing|9999|no|SYST
155|3|1010|INVOICE CREATION|1|Inv/nnlamu31.p|if-cb-cn|Create invoices use customer number|9999|no|BILL
155|4|1647|BILLING DENIALS|1|Inv/denybillingui.p|ic-deny|Import Billing Denials|9999|no|SYST
155|5|9826|EDIT PAYMTERM|1|Mc/invpaymterm_ui.p|if-ipayt|Edit invoice payment term|9999|no|BILL
155|6|1920|CLEANING RUN|1|Mc/cleanrun.p|if-clean|Cleaning run for small amounts|9999|no|BILL
155|7|1022|FAILED CREATION|1|Inv/custnobui.p|if-fail|Failed Invoice Creation|9999|no|BILL
155|8|8|RETURN |3||||9999|no|BILL
1551|2|9800|CREATE TEST|1|Inv/testinvui1.p|if-ctest|Create test invoices|9999|no|SYST
1551|4|9802|DELETE TEST|1|Inv/testinvdelui.p|if-dtest|Delete all test invoices|9999|no|SYST
1551|8|8|RETURN |3||||9999|no|
157|1|1457|PRINT H XML FILE|1|Inv/invoice_teapps_xml_ui.p|phxml|TEAPPSXML File From Invoices|9999|no|VENDOR
157|2|1455|PDF XML FILE|1|Inv/invoice_xml_ui.p|pdfxml|XML FILE|9999|no|VENDOR
157|3|1085|INTRUM XML FILE|1|Inv/intrum_invoice_ui.p|intrxml|Send Invoices to Intrum|9999|no|BILL
157|4|1773|PDF INVOICES|1|Inv/invoice_xml2pdf_ui.p|xml2pdf|PDF converter call|9999|no|VENDOR
157|5|1459|PRINT H ZIP FILE|1|Inv/invoice_printhouse_file_ui.p|phzip|Print house ZIP File|9999|no|BILL
157|7|565|OTHER PRINTOUT|2||invother|Other printouts|9999|no|BILL
