Table Name|Field Name|Group|Value|Description|Used|Configuration Value|Memo
corule|targType|Corule|R|Reseller|Yes||
corule|targType|Corule|S|Salesman|Yes||
CoTarg|CommStatus|Commission|1|Pending|Yes||
CoTarg|CommStatus|Commission|2|Activated|Yes||
CoTarg|CommStatus|Commission|3|Rejected|Yes||
CoTarg|CommStatus|Commission|4|Cancelled|Yes||
CoTarg|StatusReason|Commission|1|Promoted subscr. not active long enough|Yes||
CoTarg|StatusReason|Commission|10|Promoted payment type change|Yes||
CoTarg|StatusReason|Commission|2|Not enough bills paid|Yes||
CoTarg|StatusReason|Commission|3|Not enough topup paid|Yes||
CoTarg|StatusReason|Commission|4|Promoted subscription terminated|Yes||
CoTarg|StatusReason|Commission|5|Referee terminated|Yes||
CoTarg|StatusReason|Commission|6|Pending time expired|Yes||
CoTarg|StatusReason|Commission|7|Referee payment type has been changed|Yes||
CoTarg|StatusReason|Commission|8|No valid commission event to be created|Yes||
CoTarg|StatusReason|Commission|9|Commission created|Yes||
Counter|CounterType|Counters|1|SMSBundle|Yes||
Counter|CounterType|Counters|2|FAT COMPSMSFAT|Yes||
Counter|CounterType|Counters|3|FAT COMP75|Yes||
Country|FraudGroup|Fraud|A|Country Group A|Yes||
Country|FraudGroup|Fraud|B|Country Group B|Yes||
Country|FraudGroup|Fraud|C|Country Group C|Yes||
CreditNote|Reason|Order|1010|Cancelled by customer|Yes||
CreditNote|Reason|Order|1011|Cancelled by operator|Yes||
CreditNote|Reason|Order|1012|Cancelled due failed MNP|Yes||
CreditNote|Reason|Order|1013|Cancelled by Retailer|Yes||
CreditNote|Reason|Correct|2010|Rating|Yes||
CreditNote|Reason|Correct|2011|Erroneus Penalty application|Yes||
CreditNote|Reason|Correct|2012|Incorrect call charge|Yes||
CreditNote|Reason|Correct|2013|Erroneous invoice|Yes||
CreditNote|Reason|Compens|3010|Collections|Yes||
CreditNote|Reason|Compens|3011|Fraud|Yes||
CreditNote|Reason|Compens|3012|Compensation|Yes||
CreditNote|Reason|Correct|3013|Other reason|Yes||
CreditNote|Reason|Legal|4011|Arbitrage|Yes||
CreditNote|Reason|Legal|4012|Juridical|Yes||
CreditNote|Reason|OwnUsage|5011|Own usage|Yes||
CreditNote|ReasonGrp|AR|Compens|Negotiation|Yes|1|
CreditNote|ReasonGrp|AR|Correct|Incorrect billing|Yes|1|
CreditNote|ReasonGrp|AR|Legal|Legal|Yes|1|
CreditNote|ReasonGrp|AR|Order|Order cancellation|Yes|6,7|
CreditType|CreditType|CreditType|0|Not Active|Yes||
CreditType|CreditType|CreditType|1|CreditLimit for Cust|Yes||
CreditType|CreditType|CreditType|10|Service parameter change|Yes||
CreditType|CreditType|CreditType|2|Saldo Reminder|Yes||
CreditType|CreditType|CreditType|3|Saldo Agreement|Yes||
CreditType|CreditType|CreditType|5|1. invoice reminder|Yes||
CreditType|CreditType|CreditType|6|CLI type change|Yes||
CreditType|CreditType|CreditType|7|Invoice printed|Yes||
CreditType|CreditType|CreditType|8|Direct debiting|Yes||
CreditType|CreditType|CreditType|9|Info|Yes||
CTServPac|ServType|MobSub|1|Profile|Yes||
CTServPac|ServType|MobSub|2|Profile extention|Yes||
CTServPac|ServType|MobSub|3|Additional|Yes||
CTServPac|ServType|MobSub|4|Internal|Yes||
CTServPac|ServType|MobSub|8|Barring|Yes||
CustBal|BalType|AccRec|AP|Advance Payment|Yes||
CustBal|BalType|AccRec|CL|Credit Loss|Yes||
CustBal|BalType|AccRec|DP|Deposit|Yes||
CustBal|BalType|AccRec|INT|Interest|Yes||
CustBal|BalType|AccRec|OP|OverPayment|Yes||
CustBal|BalType|AccRec|REF|Refund|Yes||
CustCat|CatType|Customer|B2B||Yes||
CustCat|CatType|Customer|B2C||Yes||
CustContact|CustType|Customer|1|Representative|Yes||
CustContact|CustType|Customer|5|Contact person|Yes||
Customer|CustIDType|CustCare|HETU|Henkil�tunnus|Yes||
Customer|CustIDType|CustCare|N/A|Not available|Yes||
Customer|CustIDType|CustCare|SN|Serial number|Yes||
Customer|CustIDType|CustCare|Y-TUNNUS|Yritys- ja yhteis�tunnus|Yes||
Customer|CustomerIDType|CustCare|N/A|Not defined|No ||
Customer|InvoiceSMS|Billing|0|Not sent|Yes||
Customer|InvoiceSMS|Billing|1|Delivery|Yes||
Customer|InvoiceSMS|Billing|2|Due date|Yes||
Customer|InvoiceTargetRule|Billing|1|Default group|Yes||
Customer|InvoiceTargetRule|Billing|2|Separate group|Yes||
Customer|LetterDelType|Customer|email_letter|Email letter|Yes||
Customer|LetterDelType|Customer|printed_letter|Printed Letter|Yes||
Customer|ReportCode|ReportCode|1|Customer's call specification|Yes||
Customer|ReportCode|ReportCode|3|This must configure for TMSCODES|Yes||
Customer|Title|CustCare|Mr|Title for males|Yes||
Customer|Title|CustCare|Mrs|Title for females|Yes||
DayCampaign|CalcMethod|DCCounter|0|Indeterminate calculation method|No ||Value used for Per.Contract without any calculation method
Daycampaign|CalcMethod|DCCounter|1|Special charge before limit|Yes||
Daycampaign|CalcMethod|DCCounter|2|Special charge after limit|Yes||
Daycampaign|CalcMethod|DCCounter|3|Special charge before and after limit|Yes||
Daycampaign|CalcMethod|DCCounter|4|Progressive charge|No ||
DayCampaign|DCTarget|PerContr|1|Subscription|Yes||
DayCampaign|DCTarget|PerContr|2|Customer|Yes||
DayCampaign|DCType|PerContr|1|Service Package|Yes||
DayCampaign|DCType|PerContr|10|Automatic additional package|Yes||
DayCampaign|DCType|PerContr|2|Rating Limit|Yes||
DayCampaign|DCType|PerContr|3|Discount|Yes||
DayCampaign|DCType|PerContr|4|Progressive Rating|Yes||
DayCampaign|DCType|PerContr|5|Installment|No ||
DayCampaign|DCType|PerContr|6|Pool Rating|No ||
Daycampaign|DCType|PerContr|7|Recurring charge|Yes||
DayCampaign|DCType|PerContr|8|Part Payment|Yes||
DayCampaign|DCType|PerContr|9|Fixed-term contract|Yes||
Daycampaign|DurType|DCCounter|1|Continuous with counters|Yes||
Daycampaign|DurType|DCCounter|2|Determinate with counters|Yes||
DayCampaign|DurType|DCCounter|3|Determinate without counters|Yes||
DayCampaign|DurType|DCCounter|4|Continuous without counters|Yes||
DayCampaign|DurUnit|PerContr|0|N/A|Yes||
DayCampaign|DurUnit|PerContr|1|Day|Yes||
DayCampaign|DurUnit|PerContr|2|Month|Yes||
DayCampaign|DurUnit|PerContr|3|Billing period|Yes||
DayCampaign|Effective|PerContr|0|N/A|No ||
DayCampaign|Effective|PerContr|1|Immediately|Yes||
DayCampaign|Effective|PerContr|2|Next calendar month|Yes||
DayCampaign|Effective|PerContr|3|Next billing period|Yes||
DayCampaign|Effective|PerContr|4|Date of order|No ||
Daycampaign|InclUnit|Unit|2|Second|Yes||
Daycampaign|InclUnit|Unit|4|Megabyte|Yes||
Daycampaign|InclUnit|Unit|6|Amount|Yes||
Daycampaign|Renewal|Rrule|0|Not allowed|Yes||
Daycampaign|Renewal|Rrule|1|Manual|Yes||
Daycampaign|Renewal|Rrule|2|Automatic|Yes||
Daycampaign|Renewal|Rrule|3|Conditional|Yes||
DayCampaign|TermFeeCalc|PerContr|0|Not allowed|Yes||
DayCampaign|TermFeeCalc|PerContr|1|Total amount|Yes||
DayCampaign|TermFeeCalc|PerContr|2|Calculation|Yes||
DBConfig|DBState|DBConfig|0|Active|Yes||
DBConfig|DBState|DBConfig|1|Archived|Yes||
DBConfig|DBState|DBConfig|2|Removed|No ||
DCCategoryAction|ClaimAction|DebtCollect|Barr|Barr subscription|Yes||
DCCategoryAction|ClaimAction|DebtCollect|SendTermMail|Send termination email|Yes||
DCCategoryAction|ClaimAction|DebtCollect|Suspend|Suspend subscription|Yes||
DCCategoryAction|ClaimAction|DebtCollect|Terminate|Terminate subscription|Yes||
DCCategoryAction|ProductType|DebtCollect|PPContract|Part Payment contract collection|Yes||
DCCategoryAction|ProductType|DebtCollect|Subscription|Subscription collection|Yes||
DebtCollect|Action|DColl|List|List of what should be done|Yes||
DebtCollect|Action|DColl|Update|Update levels|Yes||
DiscountPlan|DiscountType|Discount|AdditionalRC|Recurring fees for additional services|Yes||
DiscountPlan|DiscountType|Discount|Deezer|Discount for Deezer|Yes||
DiscountPlan|DiscountType|Discount|Device|Device fees|Yes||
DiscountPlan|DiscountType|Discount|DevInsurance|Discount for device insurance|Yes||
DiscountPlan|DiscountType|Discount|MatkaTvRC|Recurring fees for MatkaTv services|Yes||
DiscountPlan|DiscountType|Discount|SecurityRC|Recurring fees for security services|Yes||
DiscountPlan|DiscountType|Discount|SubscriptionRC|Recurring fees for subscription|Yes||
DiscountPlan|DiscountType|Discount|SubSpecSerRC|Recurring fees for subs.specific services|Yes||
DiscountPlan|DiscountType|Discount|Usage|Subscription usage charges|Yes||
DiscountPlan|DPUnit|Discount|Fixed|Fixed amount|Yes||
DiscountPlan|DPUnit|Discount|Percentage|Discount percentage|Yes||
DiscountPlan|Subject|Discount|Agreement|Agreement customer|Yes||
DiscountPlan|Subject|Discount|Contract Target|Contract target|Yes||
DiscountPlan|Subject|Discount|Invoice|Invoice customer|Yes||
Discounts|TypeId|Discounts||Empty usage|Yes||
Discounts|TypeId|Discounts|BILLCRED|Billing crediting element|Yes||
Discounts|TypeId|Discounts|COMPENSATION|Customer care compensation element|Yes||
Discounts|TypeId|Discounts|RESCUECAMP|Contract rescue element|Yes||
Discounts|TypeId|Discounts|SALESCAMP|Campaign element|Yes||
DPTarget|TargetTable|Discount|BillItem|Billing item|Yes||
DPTarget|TargetTable|Discount|BItemGroup|Billing item group|Yes||
DumpFile|DecimalPoint|DumpFile||As is|Yes||
DumpFile|DecimalPoint|DumpFile|,|Comma|Yes||
DumpFile|DecimalPoint|DumpFile|.|Period|Yes||
DumpFile|DecimalPoint|DumpFile|Remove|Exclude decimal point|Yes||
DumpFile|DumpFormat|DumpFile|ASCII|ASCII|Yes||
DumpFile|DumpFormat|DumpFile|XML|XML|Yes||
DumpFile|FileCategory|DumpFile|DWH|Data warehouse|Yes||Files including data and/or reports used in Data warehouse
DumpFile|FileCategory|DumpFile|HIS|High Spender|Yes||High spender reports
DumpFile|FileCategory|DumpFile|HPD|HPD|Yes||HPD file dumps
DumpFile|FileCategory|DumpFile|IFS|IFS|Yes||
DumpFile|FileCategory|DumpFile|INV|Billing|Yes||Files including data and/or reports considering billing
DumpFile|FileCategory|DumpFile|LOG|Logistic|Yes||Files including data and/or reports to Logistic company
DumpFile|FileCategory|DumpFile|MNP|MNP|Yes||Files including data and/or reports considering MNP process
DumpFile|FileCategory|DumpFile|QDW|QDW|Yes||
DumpFile|FileCategory|DumpFile|SAP|SAP|Yes||Files including data and/or reports considering SAP
DumpFile|FileCategory|DumpFile|TAP|TAP|Yes||TAP files (Roaming in Yoigo's NW)
DumpFile|FileCategory|DumpFile|TAX|Tax reports|Yes||Files including data and/or reports considering taxes
EventLog|EventLogStatus|Timing|0||Yes||
EventLog|EventLogStatus|Timing|1|Pending|Yes||
EventLog|EventLogStatus|Timing|2|OK|Yes||
EventLog|EventLogStatus|Report|3|Simple eventlog from Web|Yes||
EventLog|EventLogStatus|Report|4|Report printing|Yes||
EventLog|EventLogStatus|Report|5|View data|Yes||
FATConfig|ConfRule1|3|Delete|Delete FAtime|Yes||
FATConfig|ConfRule1|3|Leave|Leave unused FATime to old customer (refund)|Yes||
FATConfig|ConfRule1|3|Transfer|Transfer FATime to new customer|Yes||
FATConfig|ConfTarget|3|AgrChg|Agreement customer change|Yes||
FATConfig|ConfTarget|1|BillItem|Billing item that is mutually exclusive|Yes||
FATConfig|ConfTarget|4|CLIType|FAT cannot be used for this CLI type|Yes||
FATConfig|ConfTarget|5|CLITypeA|FAT can be used for this clitype|Yes||
FATConfig|ConfTarget|3|CTChange|CLI type change|Yes||
FATConfig|ConfTarget|1|FATGroup|FATGroup that is mutually exclusive|Yes||
FATConfig|ConfTarget|3|InvChg|Invoice customer change|Yes||
FATConfig|ConfTarget|3|MSTerm|Subscription termination|Yes||
FATConfig|ConfTarget|2|Transfer|Field for which default value is set|Yes||
FATConfig|ConfTarget|3|UserChg|User customer change|Yes||
FATConfig|ConfType|FATime|1|Mutually exclusive FATime group|Yes||
FATConfig|ConfType|FATime|2|Special default value|Yes||
FATConfig|ConfType|FATime|3|What to do for FAT in defined process|Yes||
FATConfig|ConfType|FATime|4|CLIType that is not allowed for FATime|Yes||
FATConfig|ConfType|FATime|5|CLIType that is allowed for this FAT|Yes||
FatGroup|FatTarget|FATime|0|Subscription|Yes||
FatGroup|FatTarget|FATime|1|Agreement customer|Yes||
FatGroup|FatTarget|FATime|2|Invoice customer|Yes||
FatGroup|FatTarget|FATime|3|User customer|Yes||
FatGroup|FatTarget|FATime|4|CustPerContract|Yes||
FatGroup|FatTarget|FATime|5|MainContract|Yes||
FATGroup|FATType|FATime|0|Calls|Yes||
FATGroup|FATType|FATime|1|Fixed Fees|Yes||
FATGroup|FATType|FATime|2|All|Yes||
FATGroup|FATType|FATime|3|Single Fees|Yes||
FATGroup|QtyUnit|FATime|Amt|Amount|Yes||
FATGroup|Qtyunit|FATime|Qty|Quantity|Yes||
FATime|ReasonCode|FATime|R1COM|Customer care|Yes||
FATime|ReasonCode|FATime|R2COM|Sales|Yes||
FATime|ReasonCode|FATime|R3COM|Customer relationship mgmt|Yes||
FATime|ReasonCode|FATime|R4COM|Pricing error|Yes||
FATime|ReasonCode|FATime|R5COM|Current device compensation|Yes||
FixCDR|ReasonCode|ReasonCode|1|TroubleShooting|Yes||
FixCDR|ReasonCode|ReasonCode|2|Authority requests|Yes||
FixCDR|ReasonCode|ReasonCode|3|Invoicing|Yes||
FixCDR|ReasonCode|ReasonCode|4|Other reason|Yes||
FixedFee|HostTable|Contract|Customer|Customer|Yes||
FixedFee|HostTable|Contract|DataCLI|Data CLI|Yes||
FixedFee|HostTable|Contract|MobSub|Mobile CLI|Yes||
FMItem|BrokenRental|FeeModel|0|Broken rental|Yes||
FMItem|BrokenRental|FeeModel|1|Full month|Yes||
FMItem|BrokenRental|FeeModel|2|Bill remaining (last fee broken rental)|Yes||
FMItem|BrokenRental|FeeModel|3|Bill remaining (last fee full month)|Yes||
FuncRunParam|ParamType|FuncRun|Character|Character value|Yes||
FuncRunParam|ParamType|FuncRun|Date|Date value|Yes||
FuncRunParam|ParamType|FuncRun|Decimal|Decimal value|Yes||
FuncRunParam|ParamType|FuncRun|Integer|Integer value|Yes||
FuncRunParam|ParamType|FuncRun|Logical|Logical value|Yes||
General|Config|DashBoard|1|Invoice Funcrun|Yes|DeleteTestInv,Delete test invoices,-1|
General|Config|DashBoard|10|Invoice Funcrun|Yes|BillingQuality,Billing quality report,0|
General|Config|DashBoard|11|Invoice Funcrun|Yes|CallItemSplit,Divide call itemization processes,6|
General|Config|DashBoard|12|Invoice Funcrun|Yes|CallItemXMLPr,Create Call Itemization XMLs,7|
General|Config|DashBoard|2|Invoice Funcrun|Yes|BillRunSplit,Divide invoicing processes,1|
General|Config|DashBoard|3|Invoice Funcrun|Yes|BillRunNoWD,Invoice creation,2|
General|Config|DashBoard|4|Invoice Funcrun|Yes|BillRunStatistic,Invoice run statistics,0|
General|Config|DashBoard|5|Invoice Funcrun|Yes|InvoiceNumbering,Invoice numbering,3|
General|Config|DashBoard|6|Invoice Funcrun|Yes|InvPrintSplit,Divide printing mass,0|
General|Config|DashBoard|7|Invoice Funcrun|Yes|PrintPDFXML,Create Invoice PDF-XMLs,4|
General|Config|DashBoard|8|Invoice Funcrun|Yes|PrintENFOXML,Create Invoice ENFO-XMLs,5|
General|Config|DashBoard|9|Invoice Funcrun|Yes|CCReport,Call case reort,0|
HighUsage|HiUSageStatus|HighUsage|0|NEW|Yes||
HighUsage|HiUsageStatus|HighUsage|1|PROCESS|Yes||
HighUsage|HiUsageStatus|HighUsage|2|CLOSED|Yes||
Interest|IntType|AccRec|1|General B2C|Yes||
Interest|IntType|AccRec|2|General B2B|Yes||
Invoice|ChargeType|AccRec|0|N/A|No ||
Invoice|ChargeType|AccRec|1|Cash|No ||
Invoice|ChargeType|AccRec|2|Direct Debit|No ||
Invoice|ChargeType|AccRec|3|Credit Card|No ||
Invoice|ChargeType|AccRec|4|ePayment|No ||
Invoice|ChargeType|AccRec|5|Bank Transfer|Yes||
Invoice|ClaimCancel|AccRec|1|Cancelled by operator|Yes||
Invoice|ClaimCancel|AccRec|2|Cancelled by collection agency|Yes||
Invoice|ClaimCancel|AccRec|3|Not in use|Yes||
Invoice|ClaimCancel|AccRec|4|Not in use|Yes||
Invoice|ClaimCancel|AccRec|5|Not in use|Yes||
Invoice|ClaimCancel|AccRec|6|Not in use|Yes||
Invoice|ClaimCancel|AccRec|7|Not in use|Yes||
Invoice|ClaimCancel|AccRec|8|Not in use|Yes||
Invoice|ClaimCancel|AccRec|9|Not in use|Yes||
Invoice|ClaimRestraint|DebtCollect|0|Allowed|Yes||
Invoice|ClaimRestraint|DebtCollect|1|Denied|Yes||
Invoice|ClaimRestraint|DebtCollect|2|Temporarily denied|Yes||
Invoice|ClaimState|AccRec|0.0|Not claimed|Yes||
Invoice|ClaimState|AccRec|1.0|1. SMS reminder|Yes||
Invoice|ClaimState|AccRec|11.0|Barred|Yes||
