Group|Parameter|Description|Type|Value
Invoice|InvRangeReportSpoolDir|Invoice numbers range report spool dir|Char|/apps/var/tmp/InvRange_#ID_#DATE_#TIME.csv
Invoice|InvRangeReportTransDir|Invoice numbers range report transfer directory|Char|/mnt/store/xfergw/Siirtokansio2/out/
Invoice|NoticeTime||Int|7
Invoice|RemFeeDaysAfterR1|Days after R1 status to remfee|Int|3
Invoice|RemFeeLimitDate|Reminder fee from Qvantel System|Date|21/04/16
Invoice|RemFeeLogDir|Reminder fee log transfer dir|Char|/mnt/store/xfergw/Siirtokansio9/out/
Invoice|RemFeeLogFile|Reminder fee creation log file|Char|/apps/var/tmp/reminder_fee_#DATE.csv
InvPrint|DataRowItems|Billcodes for data rows|Char|
InvPrint|InvoiceToRevolverLog|File path of invoice xml sending to revolver for PDF print|Char|/apps/var/log/invoice_to_revolver.log
InvPrint|InvPrintErrorFile|Error log|Char|
InvPrint|InvPrintFile|File name|Char|INVOICE.#YYYYMMDD.#SEQ.XML
InvPrint|InvPrintTransDir|Transfer dir for doc1 invoices|Char|/apps/filetransfer/put/itellabill/
InvPrint|InvShowPeakAmount|Billing item groups for which on/off peak amounts are shown|Char|BIG6,BIG8,BIG106,BIG108
InvPrint|InvUsageSection|Invoice section for usage|Char|IC13
InvPrint|NoPrintCust|Customers that crash C.R.PDF|Char|
InvPrint|XML2MQ.SendPause|Pause X seconds before sending next batch of XML to MQ[Revolver]|Int|5
InvRowCounter|ChkBilledIRCounterDir|Dir for log files|Char|/mnt/store/print/log/countercheck/billed
InvRowCounter|ChkUnbilledIRCounterDir|Dir for log files|Char|/mnt/store/print/log/countercheck/processing
InvRun|SplitInvRunArc|Acrhive for inv.run sp|Char|/data/tms/log/invrun/processed
Invrun|SplitInvRunDir|Directory for split fi|Char|/data/tms/log/invrun
InvRun|SplitNoCallCust|Max. qty of customers / file|Int|1000
MobBilling|DefBillStatDir|Default Billing Statreport dir|Char|
MobBilling|DefMSISDNPr|Default MSISDN Number Prefix|Char|041
MobRating|DefCCode|Default Country Code|Char|34
MobRating|ErrCDouble|'Error' code for double mcdr|Int|8001
MobReport|HideBNumber||Int|3
MobSub|DCFPrefix|Prefix for DCF|Char|042
MobSub|MSAddressChg|Password for address change|Char|admin
MobSub|MSTimeLabelChg|Password for time label change|Char|admin
Monitor|StatFileDir|StatFileDir|Char|/opt/tools/monitoring/rbs
Monitoring|DashboardDir|Directory for zip monitor dashboard|Char|/opt/tools/monitoring/billing
Monitoring|MonitorDir|Dir for monitoring file for nagios|Char|/apps/var/run
Nagios|MonitorMethod|Monitoring method for nagios|Char|File
Nagios|NagiosURL|URL FOR NAGIOS|Char|-H 145.247.16.93 -S 5501
NAGIOS|Operator|Nagios Operator|Char|DNA
NAGIOS|TimeOffSet|Nagios time offset|Int|0
NAGIOS|URL|URL for Nagios FTP|Char|-H 145.247.16.93 -S 5501
NCDevices|NCFeeModel|Device FeeModel w/o contract|Char|NCDATADEVOTC,NCMOBDEVOTC
nnohti|oh-tuasno|Unknown c.|Char|999
OM.Interface|OM.webservice.url||Char|http://172.20.34.69:80/OMServiceProvider/OMService?wsdl
OwnUse|OwnUseInvGroup|List of own usage invoice groups|Char|OWNB2B,OWNB2C,TESTI
OwnUse|OwnUsePaymType|List of own usage payment types|Char|11
Payment|PaymFileArc|Archive dir for payment files|Char|/mnt/store/rbs/intrum/in/processed
Payment|PaymFileLog|Log file for payment read|Char|payment_file_#DATE_#TIME.txt
Payment|PaymFileLogDir|Directory for log file|Char|/mnt/store/print/
Payment|PaymFileLogTrans|Transfer dir for log files|Char|
Payment|PaymFiles|Payment files|Char|
Payment|UpfJournalDir|Upfront journal transdir|Char|/mnt/store/xfergw/Siirtokansio2/out/
Payment|UpfJournalFile|Upfront Journal File|Char|/apps/var/tmp/upfront_payment_journal_#PERIOD_#TODAY.csv
PaymPlan|PPaymBatch1Amt|Amount for batch 1|Char|/apps/var/tmp/upfront_payment_journal_#PERIOD_#TODAY.csv
PaymPlan|PPaymBatch2Due|Due date for part payment|Int|29
PaymPlan|PPBankDays|Bank days after due date|Int|3
PaymPlan|PPBatchAmt|Min amounts for batch dividing|Char|
PaymPlan|PPBatchFee|Fees for batches|Char|
PaymPlan|PPBFAccNum|Account for batch fee|Int|99999
PaymPlan|PPDueDateChg|Due date transfer (days)|Int|22
PaymPlan|PPDueDateLimit|Max. days after orig. due date|Int|13
PaymPlan|PPlanServKey|Paymentplan servicefee key|Char|PAYMPACTCM
PaymPlan|PPPaymTerm|Payment terms for batches|Char|
PerContract|DATAOTC0|Data device OTC for 0 months|Char|NCDATADEVOTC
PerContract|DATAOTC12|Data device OTC for 12 months|Char|DATADEVOTC12
PerContract|DATAOTC24|Data device OTC for 24 months|Char|DATADEVOTC24
PerContract|DATARC12|Data device RC for 12 months|Char|DATADEVRC12
PerContract|DATARC24|Data device RC for 24 months|Char|DATADEVRC24
PerContract|DATATPRC12|Term paym data RC 12 months|Char|TERMPAYM12DATA
PerContract|DATATPRC18|Term paym data RC 18 months|Char|TERMPAYM18DATA
PerContract|DATATPRC24|Term paym data RC 24 months|Char|TERMPAYM24DATA
PerContract|DATATPRC36|Term paym data RC 36 months|Char|TERMPAYM36DATA
PerContract|DATATPRC6|Term paym data RC 6 months|Char|TERMPAYM6DATA
PerContract|DeviceContract12|12 months with one time charge|Char|DEVICEOTC12
PerContract|DeviceContract24|24 months with one time charge|Char|DEVICEOTC24
PerContract|DeviceContractRC12|12 months with recurring fees|Char|DEVICERC12
PerContract|DeviceContractRC24|24 months with recurring fees|Char|DEVICERC24
PerContract|MOBILEOTC0|Mobile device OTC for 0 months|Char|NCMOBDEVOTC
PerContract|MOBILEOTC12|Mobile device OTC for 12months|Char|DEVICEOTC12
PerContract|MOBILEOTC24|Mobile device OTC for 24months|Char|DEVICEOTC24
PerContract|MOBILERC12|Mobile device RC for 12 months|Char|DEVICERC12
PerContract|MOBILERC24|Mobile device RC for 24 months|Char|DEVICERC24
PerContract|MOBILETPRC12|Term paym mobile RC 12 months|Char|TERMPAYM12VOICE
PerContract|MOBILETPRC18|Term paym mobile RC 18 months|Char|TERMPAYM18VOICE
PerContract|MOBILETPRC24|Term paym mobile RC 24 months|Char|TERMPAYM24VOICE
PerContract|MOBILETPRC36|Term paym mobile RC 36 months|Char|TERMPAYM36VOICE
PerContract|MOBILETPRC6|Term paym mobile RC 6 months|Char|TERMPAYM6VOICE
PerContract|ServiceContracts|Custom service contracts list|Char|DATASER,VOICESMS
PerContract|SubsMonthlyFee|Fee model used for subscription's monthly fees (list)|Char|SUBSRECURCHARGE,RCDATASER*,RCVOICESMS*
Printing|MailArcDir|Archive dir for mail prints|Char|
Printing|MailPrintFile|File for email print|Char|
Rating|BotTriggerLimit|Limit for SMS bursts|Int|1000
Rating|CDRstreamCounter|CDR stream counter output dir|Char|/opt/tools/monitoring/cdr/cdrstream_counter.txt
Rating|CommonB2BPriceList|Common pricelist for B2B|Char|1COMMON
Rating|CommonFeePriceList|Common pricelist for fees|Char|COMMON
Rating|ExclusionList|Clis left out from alerts|Char|0449772859,0442374259,0442399120,0449813276,0445134915,0449781156
Rating|KPICDRFileName|KPI-report file|Char|/opt/tools/monitoring/cdr/kpi_counter.txt
Rating|KPICDRHandleTime|Acceptable duration for Rating|Int|900
Rating|KPIErrorFileName|KPI Errorfile name|Char|/opt/tools/monitoring/cdr/kpirate_errorcounter.txt
Rating|KPIYesterdayFileName|KPI rating capacity|Char|/opt/tools/monitoring/cdr/kpirate_#YESTERDAY.txt
Rating|RoamCDRAlert|Price of CDR to trigger alert|Char|/opt/tools/monitoring/cdr/kpirate_#YESTERDAY.txt
Rating|TMqueueFileName|TMQueue monitoring file|Char|/opt/tools/monitoring/cdr/tmqueue.txt
Rating|WeekEndBegin|weekend starts (wd:hour)|Char|7:00
Rating|WeekendEnd|weekend ends   (wd:hour)|Char|1:24
Refund|RefundApprovalLimit|Limit for manual approval|Char|1:24
Refund|RefundBalAcc|Refund balance account|Int|13131313
Refund|RefundDir|Refund directory|Char|/apps/filetransfer/rsync/
Refund|RefundErrorFile|Refund error log|Char|/apps/filetransfer/rsync/
Refund|RefundFile|File for refund payments|Char|/apps/filetransfer/rsync/REFUND_
Refund|RefundFileDays|File creation days|Char|5,20
Refund|RefundTransDir|Transfer directory for refunds|Char|
REPORT|ActSubsReportDir|Active subscription count dir|Char|/mnt/store/rbs/reports/
Report|BillItemTrendTestDir|Billing trend from test bills|Char|/mnt/store/print/report
Report|BillQualityFileName|File name for quality report|Char|/apps/dna/var/tmp/billing_report_#INVDATE_#MODE.txt
Report|BillQualityTransDir|Trans dir for quality report|Char|/mnt/store/print/report
Report|BillRepFileName|File name for billing report|Char|/apps/dna/var/tmp/billing_report_#INVDATE.txt
Report|BillRepTransDir|Transfer dir for billing repor|Char|/mnt/store/print/report
Report|CCNReportFile|File name for CCN report|Char|/apps/dna/var/tmp/billing_item_totals_#DATE.txt
Report|CCNReportTrans|Transfer dir for CCN report|Char|/mnt/store/print/report
Report|CustSearchFileName|File name for customer search report|Char|/apps/dna/var/tmp/customer_search_#DATE_#TIME.csv
Report|CustSearchTransDir|Transfer dir for customer search report|Char|/mnt/store/rbs/billing
Report|CustSumRepFileName|File name for customer/contract summary|Char|/apps/var/tmp/customer_#CUSTID_report_summary#MAIN.csv
Report|CustSumRepTransDir|Transfer dir for customer/contract summary|Char|/mnt/store/print/report
Report|SaldoListTestTrans|TransferDir for saldo list test and verify runs|Char|/mnt/store/test/saldolist/
Report|SaldoListVerifyFile|TransferDir for saldo list test and verify runs|Char|/apps/dna/var/tmp/saldo_dump_#INVGROUP_#DATE_#RUNDATE_#RUNTIME.txt
Reports|AgeAnalFileName|Age analysis report file name|Char|/apps/var/tmp/ageanal_#MODE_#DATE_#TIME.csv
Reports|AgeAnalTransDir|Transfer dir for age analysis|Char|/mnt/store/xfergw/Siirtokansio8/out
Reports|BIGroupSalesFileName|File name for bi.group sales|Char|/apps/dna/var/tmp/dnapro_bigroup_sales_#RUN_#DATE_#TODAY.dat
Reports|BIGroupSalesTransDir|Transfer dir for bi.group sls|Char|/mnt/store/xfergw/Siirtokansio2/gledger
Reports|BilledBillItemsFileName|File name for billed bill item|Char|/apps/dna/var/tmp/dnapro_billed#RUN_#MONTH_#DATE_#TIME.dat
Reports|BilledBillItemsTransDir|Trans dir for billed bill item|Char|/mnt/store/xfergw/Siirtokansio2/gledger
Reports|BilledRevRounding|Rounding limit per invoice|Char|/mnt/store/xfergw/Siirtokansio2/gledger
Reports|BillItemTrendFileName|File name for billing item trend report|Char|/apps/dna/var/tmp/dna_billed_trend_#DATE_#TIME.txt
Reports|BillItemTrendTransDir|Transfer dir for billing item trend report|Char|/mnt/store/xfergw/Siirtokansio3/out
Reports|CustInvgCatUpdateA|Output directory for Customer's InvGroup or Category Update report. Automated run.|Char|/mnt/store/xfergw/Siirtokansio3/out/customer_changes_#RUNMODE_#DATAPERIODSTART_#DATAPERIODEND_#RUNDATE.csv
Reports|CustInvgCatUpdateM|Output directory for Customer's InvGroup or Category Update report. Manual run.|Char|/mnt/store/print/report/customer_changes_#RUNMODE_#DATAPERIODSTART_#DATAPERIODEND_#RUNDATE.csv
Reports|CustInvgCatUpdateT|Output directory for Customer's InvGroup or Category Update report. Test run.|Char|/mnt/store/rbs/billing/testing/customer_changes_#RUNMODE_#DATAPERIODSTART_#DATAPERIODEND_#RUNDATE.csv
Reports|ErrorLogMonitorActions|List of actions to be monitored|Char|INVEXTID,BILLREVENUE,UNBILLEDREV
Reports|ErrorLogMonitorFile|File name for error log monitoring|Char|/apps/dna/var/tmp/errorlog_monitor.txt
Reports|ErrorLogMonitorTime|Latest reporting time|Char|17-02-2017 14:40:01
Reports|ErrorLogMonitorTrans|Transfer dir for error log monitor file|Char|/mnt/store/control/errorlog
Reports|ErrorLogRepActions|Action IDs to be reported|Char|TEAPPSXML,INVEXTID,CALLITEM,BILLREVENUE,CALLSPECBULK,INVOICEXML,UNBILLEDREV,INVOICESMS
Reports|ErrorLogRepFile|File name for errorlog report|Char|/apps/dna/var/tmp/errorlog_#ACTION_#DATE.txt
Reports|ErrorLogRepRecipient|Mail recipient for errorlog re|Char|dnapro.billing@qvantel.com
Reports|ErrorLogRepTransDir|Transfer dir for errorlog repo|Char|/mnt/store/print/log/errorlog
Reports|FonectaControlFileName|File name for fonecta control|Char|/apps/dna/var/tmp/directory_services_modifications_#TODAY_#TIME.txt
Reports|FonectaControlTransDir|Transfer dir for fonecta ctrl|Char|/mnt/store/xfergw/Siirtokansio1/out
Reports|FSecureContract|FSecure contract IDs|Char|SEC*
Reports|FSecureQtyFileName|File name for fsecure report|Char|dnapro_fsecure_contracts_#YYYYMMDD.dat
Reports|FSecureQtyTransDir|Transfer dir for fsecure repor|Char|/mnt/store/xfergw/Siirtokansio4/out
Reports|InvJourCtrlTransDir|Transfer dir for control repor|Char|/mnt/store/print/report
Reports|InvJourFile|File name for inv.journal|Char|/apps/dna/var/tmp/#INVTYPEIDdnapro_invjour_#METHOD_#DATE.dat
Reports|InvJourTransDir|Transfer dir for inv.journal|Char|/mnt/store/xfergw/Siirtokansio2/gledger
Reports|OverPaymBalFile|Overpayment balance report filename|Char|/apps/dna/var/tmp/Overpayment_balance_#DATE_#TIME.txt
Reports|OverPaymBalTrans|Trans dir for Overpayment balance report|Char|/mnt/store/xfergw/Siirtokansio2/out/
Reports|OverPaymReportFile|File name for overpaym report|Char|/apps/dna/var/tmp/dnapro_overpayment_#DATE.dat
Reports|OverPaymReportTrans|Transfer dir for overpaym repo|Char|/mnt/store/xfergw/Siirtokansio2/gledger
Reports|PaymJournalCopyDir|Copy dir for (mothly paymjournal)|Char|/mnt/store/xfergw/Siirtokansio8/out/
Reports|PaymJournalCtrlTrans|Transfer dir for control repor|Char|/mnt/store/print/report
Reports|PaymJournalDailyTrans|Daily paymjournal transdir|Char|/mnt/store/xfergw/Siirtokansio8/out/
Reports|PaymJournalFile|Filename for Paym Journal|Char|/apps/dna/var/tmp/dnapro_paymjour_#PERIOD_#METHOD_#DATE.dat
Reports|PaymJournalTrans|transfer dir of paym journal|Char|/mnt/store/xfergw/Siirtokansio2/gledger
Reports|RatingKPIReport|Rating KPI Report file|Char|/apps/var/tmp/rating_kpi_#PERIOD.csv
Reports|RatingKPITransDir|Rating KPI Report transferdir|Char|/mnt/store/kpi_reports/
Reports|RevenueJournalFileName|File name for revenue invoice journal|Char|/apps/dna/var/tmp/revenue_journal_#MODE_#INVGROUP_#PERIOD.csv
Reports|RevenueJournalTransDir|Transfer dir for revenue invoice journal|Char|/mnt/store/xfergw/Siirtokansio2/out
Reports|SaldoListCredPaymSrcs|Comma separated list of credit related payment sources|Char|IN50,MP50,CR
Reports|SaldoListDiffFile|File stores records with different saldo evaluations: balance report and saldo dump|Char|/apps/dna/var/tmp/saldo_diff_#INVGROUP_#DATE_#RUNDATE_#RUNTIME.txt
Reports|SaldoListExclOwnUse|1=exclude own use, 0=include own use|Int|1
Reports|SaldoListFile|Filename for balance list report|Char|/apps/dna/var/tmp/balance_report_detail_#INVGROUP_#DATE_#RUNDATE_#RUNTIME.txt
Reports|SaldoListSummaryFile|Filename for balance list summary report|Char|/apps/dna/var/tmp/balance_report_summary_#INVGROUP_#DATE_#RUNDATE_#RUNTIME.txt
Reports|SaldoListTrans|Trans dir for saldo balance list report|Char|/mnt/store/xfergw/Siirtokansio8/out/
Reports|SpecSkipProd|Products skipped on specific.|Char|MNF
Reports|TempInvJournalFile|Temporary File for Invoice Journals|Char|/apps/dna/var/tmp/tempinvjournal.txt
Reports|TempJournalFile|Temporary File for Journals|Char|/mnt/store/print/report/tempjournal.txt
Reports|TempPaymJournalFile|Temporary File for Payment Journals|Char|/apps/dna/var/tmp/temppaymjournal.txt
Reports|UnbilledSubsFileName|File name for unbilled subs|Char|/apps/dna/var/tmp/unbilled_subs_#PERIOD_#INVGRP.txt
Reports|UnbilledSubsTransDir|Transfer dir for unbilled subs|Char|/mnt/store/print/report
RequestRunner|MoveToHandledDays|Nbr of days to keep reqs in state 0 after actdate|Int|32
Revolver.Interface|RevToRBS.IP|ActiveMQ server IP for i/f with Revolver|Char|mqueue
Revolver.Interface|RevToRBS.Port|I/F port for receiving messages from queue rev_rbs|Int|61613
Revolver.Interface|RevToRBS.QName|Queue name for reading revolver messages|Char|rev_rbs
Revolver.Interface|RevToRBS.SessionLimit|Listener session restart limit in seconds|Int|100
Revolver.Interface|RevToRBS.Timeout|Timeout value for queue rev_rbs|Int|2
ServiceBreak|Activation|ServiceBreak for activation|Char|0
SIMCHANGE|RestrictedPrefix|Restricted MSISDN prefixes|Char|633
SMS|ContractPenaltyText|Text for device penalty sms|Char|ContractPenalty
SMS|IRACharFile|IRA characters|Char|/apps/tms/Gwy/irachar.txt
SMS|ScheduledCallAlarm|Scheduled call alarm credit types list|Char|5,7,71
SMS|SMSMaxLength|Maximum SMS text length|Int|640
SOG|LogDirectory|Directory for log files|Char|
subser|DataNumber||Int|0
Subser|DCF-Number|Default call forwarding no|Char|0
SubsTerm|cancel_nocharge|Order cancel deact all|Char|13
SubsTerm|cancel_retain_nocharge|Order cancel deact all not dev|Char|14
SubsTerm|cancel_returned_nocharge|Order cancel deact all|Char|13
SubsTerm|debt_charge|Debt Termination|Char|4
SubsTerm|debt_retain_charge|Debt Termination|Char|4
SubsTerm|expuser_nocharge|Experiment period cancel, deact. all|Char|24
SubsTerm|expuser_returned_nocharge|Experiment period cancel, deact. all|Char|24
SubsTerm|mnp_charge|Term due to MNP outporting|Char|2
SubsTerm|mnp_retain_charge|Term due to MNP outporting|Char|2
SubsTerm|operator_charge|Order terminated by CSP|Char|22
SubsTerm|operator_nocharge|OrderTerm CSP deact all|Char|15
SubsTerm|operator_retain_charge|Order terminated by CSP|Char|22
SubsTerm|operator_retain_nocharge|OrderTerm CSP deac all not dev|Char|16
SubsTerm|operator_returned_charge|Deactivate device, not subscription|Char|27
SubsTerm|operator_returned_nocharge|OrderTerm CSP deact all|Char|15
SubsTerm|salesperson_nocharge|SalesPerson cancelled device contract, deact. device|Char|26
SubsTerm|salesperson_returned_nocharge|SalesPerson cancelled device contract, deact. device|Char|26
SubsTerm|user_charge|Termination by customer|Char|1
SubsTerm|user_retain_charge|Termination by customer|Char|1
Subvention|SubvCalcLogFile|Log file for subvention calculation|Char|/apps/dna/var/tmp/subvention_calculation_#DATE_#TIME.txt
Subvention|SubvCalcLogTrans|Transfer dir for subvention log|Char|/mnt/store/print/log/subvention
System|AdminUser|Password for admin user|Char|admin
System|AsterixDarProject|Asterix project for AR issues|Char|10803
System|AsterixDarResponsible|Asterix responsible for Ar issues|Char|customer_dna_myyntireskontra
System|AsterixPass|Password for asterix|Char|R8Spa55wd
System|AsterixTestProject|Asterix project for AR issues|Char|10700
System|AsterixTestResponsible|Asterix responsible for Ar issues|Char|seppokol
System|AsterixUser|Userid for asterix|Char|RBS_patch
System|CountryCodeDef|Default Country Code|Char|FI
SYSTEM|DBHostName|HostName of DB server|Char|
SYSTEM|DefClStamp|Default closing timestamp|Char|20521231.86399
System|DeletePwd|Password for serious delete|Char|delete
System|EMailMethod|Method to send eMail|Char|SMTP
system|EventlogDir|Eventlog directroy|Char|/apps/dna/var/log/
System|PaymPlanCreditControl|Password for pplan credit cont|Char|creditpw
System|RepConfDir|Configuration directory|Char|/apps/dna/tms/mail
System|SystemTempDir|Path for system temp directory|Char|/apps/var/tmp/
System|TestUser|Password for testing|Char|trel2testi
Temp|DNR471_FirstRun|DNR471_FirstRun|Char|FALSE
TMSPASS|PassWdExpireNotify|Notify in days password expiry|Int|5
TMSPASS|PassWdHistory|Password history length|Int|4
TMSPASS|PassWdValidDays|Password expirates in days|Int|120
TMT|TMQueueInterval|Interval for TMQueue analysis|Int|20
XML|BigPdfsCount|Biggest PDFs count|Int|15
XML|BigPdfsDir|Biggest pdfs dir|Char|/mnt/store/xfergw/Siirtokansio9/out/
XML|CallItemFile|File name for call itemization|Char|/mnt/store/print/callitemization/spool/call_itemization_#INVNUM_#MSISDN_#USER.xml
XML|CallItemFormatted|1=formatted, 0=not formatted|Int|1
XML|CallItemPDFScript|Script for PDF creation|Char|/opt/qvantel/cr/runDNAitemization.sh -s #SOURCE -o #TARGET
XML|CallItemPDFTestTransDir|Transfer dir for PDF files|Char|/mnt/store/print/callitemization/test/cache/
XML|CallItemPDFTransDir|Transfer dir for PDF files|Char|/mnt/store/print/callitemization/cache/
XML|CallItemTestTransDir|Transfer dir for test itemiz.|Char|/mnt/store/print/callitemization/test/#BILLMONTH/#FF/#SS
XML|CallItemTransDir|Transfer dir for itemization|Char|/mnt/store/print/callitemization/#BILLMONTH/#FF/#SS
XML|CallItemVersion|Version for itemization|Char|3.4
XML|CommissionInvXMLFile|Commission invoice XML file|Char|/mnt/store/print/xmlspool/DNA_#HEADER_#SALESCHAINID_#INVNUM_#IDATE.xml
XML|CommissionXMLTransDir|Commission XML transfer dir|Char|/mnt/store/print/commission/xmlstore/#BILLRUN
XML|CommItemPDFTestTransDir|Commission item test PDF dir|Char|
XML|CommItemPDFTransDir|Commission item PDF trans dir|Char|
XML|CommItemXMLFile|Commission itemization XML file|Char|
XML|CommItemXMLTestTransDir|Commission item test XML dir|Char|
XML|CommItemXMLTransDir|Commission item XML trans dir|Char|
XML|CommPDFTestTransDir|Commission test PDF trans dir|Char|/mnt/store/print/commission/pdfstore/test/#BILLRUN
XML|CommPDFTransDir|Commission PDF trans dir|Char|/mnt/store/print/commission/pdfstore/#BILLRUN
XML|CommXMLTestTransDir|Commission XML test trans dir|Char|/mnt/store/print/commission/xmlstore/test/#BILLRUN
XML|FullBNumCallItemFile|File name for full b-number call itemization|Char|/mnt/store/print/callitemization/spool/full_call_itemization_#INVNUM_#MSISDN_#USER.xml
XML|FullBNumCallItemTransDir|Trans dir for full b-number call itemization|Char|/mnt/store/print/callitemization/temp
XML|InvoicePDFBatchQty|PDF printing batch|Int|1000
XML|InvoicePDFScript|command to convert xmls to pdf|Char|/opt/qvantel/cr/runDNAinvoice.sh -s #SOURCE -o #TARGET
XML|InvPDFTestTransDir|Transfer dir for test pdfs|Char|/mnt/store/print/xmlstore/cache/test/#BATCHID/
XML|InvPDFTransDir|Transfer dir for pdf invoices|Char|/mnt/store/print/xmlstore/cache/#BATCHID/
XML|INVTEAPPSXMLFile|File name|Char|/mnt/store/print/teappsxmlstore/spool/DNA_PRO_#INVNUM.xml
XML|INVTEAPPSXMLFormatted|1=formatted, 0=not formatted|Int|1
XML|InvTEAPPSXMLNetServiceID|Net service ID|Char|00370592509640
XML|InvTEAPPSXMLPrintHouse|Printhouse name|Char|Opuc Capita
XML|INVTEAPPSXMLTestTransDir|Dir for test invoices|Char|/mnt/store/print/teappsxmlstore/test/#BILLRUN
XML|INVTEAPPSXMLTransDir|Transfer dir for xml invoices|Char|/mnt/store/print/teappsxmlstore/#BILLRUN
XML|INVTEAPPSXMLVersion|Version for XML|Char|2.7.2
XML|InvXMLFile|File name|Char|/mnt/store/print/xmlspool/DNA_PRO_#INVNUM.xml
XML|InvXMLFormatted|1=formatted, 0=not formatted|Int|1
XML|InvXMLHideBSub|Hide b-numbers in invoice XML|Int|1
XML|InvXMLPrintCDRs|Print CDRs to invoice XML|Int|0
XML|InvXMLScreenCommand|Screen start command|Char|screen #NAME -T xterm xfear -screen Inv/print_invoice_batch.p tms.pf -param #PARAM
XML|InvXMLTestInvDir|Dir for test invoices|Char|/mnt/store/print/xmlstore/test
XML|InvXMLTestTransDir|Dir for test invoices|Char|/mnt/store/print/xmlstore/test/#BILLMONTH/#FF/#SS
XML|InvXMLTransDir|Transfer dir for xml invoices|Char|/mnt/store/print/xmlstore/#BILLMONTH/#FF/#SS
XML|InvXMLVersion|Version for XML|Char|3.5
XML|InvZipDelay|Wait seconds zip creation|Int|10
XML|InvZIPFile|File for zipped pdf invoices|Char|/apps/dna/var/tmp/DNA_PRO_#TODAY_#NOW.zip
XML|InvZipMaxQty|Max qty of invoices in one zip|Int|1000
XML|InvZipTestFile|Transfer dir for test zip file|Char|/mnt/store/rbs/printhouse/test/DNA_PRO_#TODAY_#NOW.zip
XML|InvZipTrans|Transfer dir for zip file|Char|/mnt/store/rbs/invoices/out
XML|ReminderFeeCodes|Reminder fee billcodes|Char|OTCREMFEE,OTCREMFEE2
XML|ResellerInvPDFScript|Command to make pdf from xml|Char|��/opt/qvantel/cr/runDNAinvReseller.sh -s #SOURCE -o #TARGET                    │
XML|RevolverInvListFile||Char|/mnt/store/print/tmp/pdf_list_#DATE_#NOW.txt
XML|RSInvPDFTestTransDir|Reseller test invoice PDF directory|Char|/mnt/store/print/xmlstore/test/#BILLRUN/
XML|RSInvPDFTransDir|Reseller Invoice PDF Directory|Char|/mnt/store/print/xmlstore/#BILLRUN/
XML|SubventionInvXMLFile|Subvention invoice XML file|Char|/mnt/store/print/xmlspool/DNA_#HEADER_#SALESCHAINID_#INVNUM_#IDATE.xml
XML|SubventionXMLTransDir|Subvention XML transfer dir|Char|/mnt/store/print/subvention/xmlstore/#BILLRUN
XML|SubvItemPDFTestTransDir|Subvention item test PDF dir|Char|
XML|SubvItemTestTransDir|Subvention item test XML dir|Char|
XML|SubvItemTransDir|Subvention item XML trans dir|Char|
XML|SubvItemXMLFile|Subvention item XML file|Char|
XML|SubvItemXMLTestTransDir|Subvention item test XML dir|Char|
XML|SubvItemXMLTransDir|Subvention item XML trans dir|Char|
XML|SubvPDFTestTransDir|Subvention test PDF trans dir|Char|/mnt/store/print/subvention/pdfstore/test/#BILLRUN
XML|SubvPDFTransDir|Subvention PDF trans dir|Char|/mnt/store/print/subvention/pdfstore/#BILLRUN
XML|SubvXMLTestTransDir|Subvention XML test trans dir|Char|/mnt/store/print/subvention/xmlstore/test/#BILLRUN
