Group|Table Name|Field Name|Description|Value|Used|Configuration Value|Memo
Commission|CommissionLog|RejectReason|Control point in the future|COMR9|Yes||
Commission|CommissionRate|CommAction|Deactivation of temporary suspension|CustTempBarrTerm|Yes||
Commission|CommissionRate|CommAction|SIM card change|SIMChange|Yes||
Commission|CommissionRate|CommAction|Subscription type change|STC|Yes||
Commission|CommissionRate|RateType|Fixed amount|Fixed|Yes||
Commission|CommissionRate|SalesChannel|External CM|ExternalCM|Yes||
Commission|CommissionRate|SalesChannel|Point of sales|POS|Yes||
Commission|CommissionRate|SalesChannel|Telesales|TeleSales|Yes||
Commission|CommissionRate|SalesChannel|Web shop|WebShop|Yes||
Commission|CommissionRate|SalesType|Existing subscription|Addition|Yes||
Commission|CommissionRate|SalesType|Current 'Pink' customer|Migration|Yes||
Commission|CommissionRate|SalesType|New customer|New|Yes||
Commission|CommissionRule|CommClass|Class A|ADealer|Yes|RATE|
Commission|CommissionRule|CommClass|Class C|CDealer|Yes|RATE|
Commission|CommissionRule|CommClass|Class F|FDealer|Yes|RATE|
Commission|CommissionRule|CommClass|Class R|RDealer|Yes|REVENUE|
Commission|CommissionRule|CommClass|Class S|SDealer|Yes|RATE|
Commission|CommissionRule|CommType|Data subscription additional|AdditData|Yes||
Commission|CommissionRule|CommType|Hybrid subscription additional|AdditHybrid|Yes||
Commission|CommissionRule|CommType|Additional service (security)|AdditService|Yes||
Commission|CommissionRule|CommType|Voice subscription additional|AdditVoice|Yes||
Commission|CommissionRule|CommType|Data subscription basic|BasicData|Yes||
Commission|CommissionRule|CommType|Hybrid subscription basic|BasicHybrid|Yes||
Commission|CommissionRule|CommType|Voice subscription basic|BasicVoice|Yes||
Commission|CommissionRule|CommType|Contract management|ContractMgmt|Yes||
Commission|CommissionRule|CommType|Fixed term contract|FixedTermContr|Yes||
Commission|CommissionRule|DeliveryType|Backorder|Backorder|Yes||
Commission|CommissionRule|DeliveryType|Direct delivery|Direct|Yes||
Commission|Contract|ContrType|Continuous|1|Yes||
Commission|Contract|ContrType|Fixed-term|2|Yes||
Commission|CoRule|BasisType|% from amount (value)|1|Yes||
Commission|CoRule|BasisType|% from ARPU|2|Yes||% from average revenue per user
Commission|CoRule|BasisType|Fixed amount per subscription|3|Yes||
Commission|CoRule|CommPoint|Order (subscr. activation)|0|Yes||
Commission|CoRule|CommPoint|Billing|1|Yes||
Commission|CoRule|CommPoint|Payment|2|Yes||
Corule|corule|coPrdType|All|A|Yes||
Corule|corule|coPrdType|Product Group|G|Yes||
Corule|corule|coPrdType|Product|P|Yes||
Commission|CoRule|RuleType|Template|1|Yes||
Commission|CoRule|RuleType|MGM Referee|2|Yes||
Commission|CoRule|RuleType|MGM Promoted|3|Yes||
Corule|corule|targType|Customer|C|Yes||
CoRule|CoRule|TargType|Subscription|M|Yes||
Corule|corule|targType|Reseller|R|Yes||
Corule|corule|targType|Salesman|S|Yes||
Commission|CoTarg|CommStatus|Pending|1|Yes||
Commission|CoTarg|CommStatus|Activated|2|Yes||
Commission|CoTarg|CommStatus|Rejected|3|Yes||
Commission|CoTarg|CommStatus|Cancelled|4|Yes||
Commission|CoTarg|StatusReason|Promoted subscr. not active long enough|1|Yes||
Commission|CoTarg|StatusReason|Promoted payment type change|10|Yes||
Commission|CoTarg|StatusReason|Not enough bills paid|2|Yes||
Commission|CoTarg|StatusReason|Not enough topup paid|3|Yes||
Commission|CoTarg|StatusReason|Promoted subscription terminated|4|Yes||
Commission|CoTarg|StatusReason|Referee terminated|5|Yes||
Commission|CoTarg|StatusReason|Pending time expired|6|Yes||
Commission|CoTarg|StatusReason|Referee payment type has been changed|7|Yes||
Commission|CoTarg|StatusReason|No valid commission event to be created|8|Yes||
Commission|CoTarg|StatusReason|Commission created|9|Yes||
Counters|Counter|CounterType|SMSBundle|1|Yes||
Counters|Counter|CounterType|FAT COMPSMSFAT|2|Yes||
Counters|Counter|CounterType|FAT COMP75|3|Yes||
Fraud|Country|FraudGroup|Country Group A|A|Yes||
Fraud|Country|FraudGroup|Country Group B|B|Yes||
Fraud|Country|FraudGroup|Country Group C|C|Yes||
Order|CreditNote|Reason|Cancelled by customer|1010|Yes||
Order|CreditNote|Reason|Cancelled by operator|1011|Yes||
Order|CreditNote|Reason|Cancelled due failed MNP|1012|Yes||
Order|CreditNote|Reason|Cancelled by Retailer|1013|Yes||
Correct|CreditNote|Reason|Rating|2010|Yes||
Correct|CreditNote|Reason|Erroneus Penalty application|2011|Yes||
Correct|CreditNote|Reason|Incorrect call charge|2012|Yes||
Correct|CreditNote|Reason|Erroneous invoice|2013|Yes||
Compens|CreditNote|Reason|Collections|3010|Yes||
Compens|CreditNote|Reason|Fraud|3011|Yes||
Compens|CreditNote|Reason|Compensation|3012|Yes||
Correct|CreditNote|Reason|Other reason|3013|Yes||
Legal|CreditNote|Reason|Arbitrage|4011|Yes||
Legal|CreditNote|Reason|Juridical|4012|Yes||
OwnUsage|CreditNote|Reason|Own usage|5011|Yes||
AR|CreditNote|ReasonGrp|Negotiation|Compens|Yes|1|
AR|CreditNote|ReasonGrp|Incorrect billing|Correct|Yes|1|
AR|CreditNote|ReasonGrp|Legal|Legal|Yes|1|
AR|CreditNote|ReasonGrp|Order cancellation|Order|Yes|6,7|
CreditType|CreditType|CreditType|Not Active|0|Yes||
CreditType|CreditType|CreditType|CreditLimit for Cust|1|Yes||
CreditType|CreditType|CreditType|Service parameter change|10|Yes||
CreditType|CreditType|CreditType|Saldo Reminder|2|Yes||
CreditType|CreditType|CreditType|Saldo Agreement|3|Yes||
CreditType|CreditType|CreditType|1. invoice reminder|5|Yes||
CreditType|CreditType|CreditType|CLI type change|6|Yes||
CreditType|CreditType|CreditType|Invoice printed|7|Yes||
CreditType|CreditType|CreditType|Direct debiting|8|Yes||
CreditType|CreditType|CreditType|Info|9|Yes||
MobSub|CTServPac|ServType|Profile|1|Yes||
MobSub|CTServPac|ServType|Profile extention|2|Yes||
MobSub|CTServPac|ServType|Additional|3|Yes||
MobSub|CTServPac|ServType|Internal|4|Yes||
MobSub|CTServPac|ServType|Barring|8|Yes||
AccRec|CustBal|BalType|Advance Payment|AP|Yes||
AccRec|CustBal|BalType|Credit Loss|CL|Yes||
AccRec|CustBal|BalType|Deposit|DP|Yes||
AccRec|CustBal|BalType|Interest|INT|Yes||
AccRec|CustBal|BalType|OverPayment|OP|Yes||
AccRec|CustBal|BalType|Refund|REF|Yes||
Customer|CustCat|CatType||B2B|Yes||
Customer|CustCat|CatType||B2C|Yes||
Customer|CustContact|CustType|Representative|1|Yes||
Customer|CustContact|CustType|Contact person|5|Yes||
CustCare|Customer|CustIDType|Henkil�tunnus|HETU|Yes||
CustCare|Customer|CustIDType|Not available|N/A|Yes||
CustCare|Customer|CustIDType|Serial number|SN|Yes||
CustCare|Customer|CustIDType|Yritys- ja yhteis�tunnus|Y-TUNNUS|Yes||
CustCare|Customer|CustomerIDType|Not defined|N/A|No ||
Billing|Customer|InvoiceSMS|Not sent|0|Yes||
Billing|Customer|InvoiceSMS|Delivery|1|Yes||
Billing|Customer|InvoiceSMS|Due date|2|Yes||
Billing|Customer|InvoiceTargetRule|Default group|1|Yes||
Billing|Customer|InvoiceTargetRule|Separate group|2|Yes||
Customer|Customer|LetterDelType|Email letter|email_letter|Yes||
Customer|Customer|LetterDelType|Printed Letter|printed_letter|Yes||
ReportCode|Customer|ReportCode|Customer's call specification|1|Yes||
ReportCode|Customer|ReportCode|This must configure for TMSCODES|3|Yes||
CustCare|Customer|Title|Title for males|Mr|Yes||
CustCare|Customer|Title|Title for females|Mrs|Yes||
DCCounter|DayCampaign|CalcMethod|Indeterminate calculation method|0|No ||Value used for Per.Contract without any calculation method
DCCounter|Daycampaign|CalcMethod|Special charge before limit|1|Yes||
DCCounter|Daycampaign|CalcMethod|Special charge after limit|2|Yes||
DCCounter|Daycampaign|CalcMethod|Special charge before and after limit|3|Yes||
DCCounter|Daycampaign|CalcMethod|Progressive charge|4|No ||
PerContr|DayCampaign|DCTarget|Subscription|1|Yes||
PerContr|DayCampaign|DCTarget|Customer|2|Yes||
PerContr|DayCampaign|DCType|Service Package|1|Yes||
PerContr|DayCampaign|DCType|Automatic additional package|10|Yes||
PerContr|DayCampaign|DCType|Rating Limit|2|Yes||
PerContr|DayCampaign|DCType|Discount|3|Yes||
PerContr|DayCampaign|DCType|Progressive Rating|4|Yes||
PerContr|DayCampaign|DCType|Installment|5|No ||
PerContr|DayCampaign|DCType|Pool Rating|6|No ||
PerContr|Daycampaign|DCType|Recurring charge|7|Yes||
PerContr|DayCampaign|DCType|Part Payment|8|Yes||
PerContr|DayCampaign|DCType|Fixed-term contract|9|Yes||
DCCounter|Daycampaign|DurType|Continuous with counters|1|Yes||
DCCounter|Daycampaign|DurType|Determinate with counters|2|Yes||
DCCounter|DayCampaign|DurType|Determinate without counters|3|Yes||
DCCounter|DayCampaign|DurType|Continuous without counters|4|Yes||
PerContr|DayCampaign|DurUnit|N/A|0|Yes||
PerContr|DayCampaign|DurUnit|Day|1|Yes||
PerContr|DayCampaign|DurUnit|Month|2|Yes||
PerContr|DayCampaign|DurUnit|Billing period|3|Yes||
PerContr|DayCampaign|Effective|N/A|0|No ||
PerContr|DayCampaign|Effective|Immediately|1|Yes||
PerContr|DayCampaign|Effective|Next calendar month|2|Yes||
PerContr|DayCampaign|Effective|Next billing period|3|Yes||
PerContr|DayCampaign|Effective|Date of order|4|No ||
Unit|Daycampaign|InclUnit|Second|2|Yes||
Unit|Daycampaign|InclUnit|Megabyte|4|Yes||
Unit|Daycampaign|InclUnit|Amount|6|Yes||
Rrule|Daycampaign|Renewal|Not allowed|0|Yes||
Rrule|Daycampaign|Renewal|Manual|1|Yes||
Rrule|Daycampaign|Renewal|Automatic|2|Yes||
Rrule|Daycampaign|Renewal|Conditional|3|Yes||
PerContr|DayCampaign|TermFeeCalc|Not allowed|0|Yes||
PerContr|DayCampaign|TermFeeCalc|Total amount|1|Yes||
PerContr|DayCampaign|TermFeeCalc|Calculation|2|Yes||
DBConfig|DBConfig|DBState|Active|0|Yes||
DBConfig|DBConfig|DBState|Archived|1|Yes||
DBConfig|DBConfig|DBState|Removed|2|No ||
DebtCollect|DCCategoryAction|ClaimAction|Barr subscription|Barr|Yes||
DebtCollect|DCCategoryAction|ClaimAction|Send termination email|SendTermMail|Yes||
DebtCollect|DCCategoryAction|ClaimAction|Suspend subscription|Suspend|Yes||
DebtCollect|DCCategoryAction|ClaimAction|Terminate subscription|Terminate|Yes||
DebtCollect|DCCategoryAction|ProductType|Part Payment contract collection|PPContract|Yes||
DebtCollect|DCCategoryAction|ProductType|Subscription collection|Subscription|Yes||
DColl|DebtCollect|Action|List of what should be done|List|Yes||
DColl|DebtCollect|Action|Update levels|Update|Yes||
Discount|DiscountPlan|DiscountType|Recurring fees for additional services|AdditionalRC|Yes||
Discount|DiscountPlan|DiscountType|Discount for Deezer|Deezer|Yes||
Discount|DiscountPlan|DiscountType|Device fees|Device|Yes||
Discount|DiscountPlan|DiscountType|Discount for device insurance|DevInsurance|Yes||
Discount|DiscountPlan|DiscountType|Recurring fees for MatkaTv services|MatkaTvRC|Yes||
Discount|DiscountPlan|DiscountType|Recurring fees for security services|SecurityRC|Yes||
Discount|DiscountPlan|DiscountType|Recurring fees for subscription|SubscriptionRC|Yes||
Discount|DiscountPlan|DiscountType|Recurring fees for subs.specific services|SubSpecSerRC|Yes||
Discount|DiscountPlan|DiscountType|Subscription usage charges|Usage|Yes||
Discount|DiscountPlan|DPUnit|Fixed amount|Fixed|Yes||
Discount|DiscountPlan|DPUnit|Discount percentage|Percentage|Yes||
Discount|DiscountPlan|Subject|Agreement customer|Agreement|Yes||
Discount|DiscountPlan|Subject|Contract target|Contract Target|Yes||
Discount|DiscountPlan|Subject|Invoice customer|Invoice|Yes||
Discounts|Discounts|TypeId|Empty usage||Yes||
Discounts|Discounts|TypeId|Billing crediting element|BILLCRED|Yes||
Discounts|Discounts|TypeId|Customer care compensation element|COMPENSATION|Yes||
Discounts|Discounts|TypeId|Contract rescue element|RESCUECAMP|Yes||
Discounts|Discounts|TypeId|Campaign element|SALESCAMP|Yes||
Discount|DPTarget|TargetTable|Billing item|BillItem|Yes||
Discount|DPTarget|TargetTable|Billing item group|BItemGroup|Yes||
DumpFile|DumpFile|DecimalPoint|As is||Yes||
DumpFile|DumpFile|DecimalPoint|Comma|,|Yes||
DumpFile|DumpFile|DecimalPoint|Period|.|Yes||
DumpFile|DumpFile|DecimalPoint|Exclude decimal point|Remove|Yes||
DumpFile|DumpFile|DumpFormat|ASCII|ASCII|Yes||
DumpFile|DumpFile|DumpFormat|XML|XML|Yes||
DumpFile|DumpFile|FileCategory|Data warehouse|DWH|Yes||Files including data and/or reports used in Data warehouse
DumpFile|DumpFile|FileCategory|High Spender|HIS|Yes||High spender reports
DumpFile|DumpFile|FileCategory|HPD|HPD|Yes||HPD file dumps
DumpFile|DumpFile|FileCategory|IFS|IFS|Yes||
DumpFile|DumpFile|FileCategory|Billing|INV|Yes||Files including data and/or reports considering billing
DumpFile|DumpFile|FileCategory|Logistic|LOG|Yes||Files including data and/or reports to Logistic company
DumpFile|DumpFile|FileCategory|MNP|MNP|Yes||Files including data and/or reports considering MNP process
DumpFile|DumpFile|FileCategory|QDW|QDW|Yes||
DumpFile|DumpFile|FileCategory|SAP|SAP|Yes||Files including data and/or reports considering SAP
DumpFile|DumpFile|FileCategory|TAP|TAP|Yes||TAP files (Roaming in Yoigo's NW)
DumpFile|DumpFile|FileCategory|Tax reports|TAX|Yes||Files including data and/or reports considering taxes
Timing|EventLog|EventLogStatus||0|Yes||
Timing|EventLog|EventLogStatus|Pending|1|Yes||
Timing|EventLog|EventLogStatus|OK|2|Yes||
Report|EventLog|EventLogStatus|Simple eventlog from Web|3|Yes||
Report|EventLog|EventLogStatus|Report printing|4|Yes||
Report|EventLog|EventLogStatus|View data|5|Yes||
3|FATConfig|ConfRule1|Delete FAtime|Delete|Yes||
3|FATConfig|ConfRule1|Leave unused FATime to old customer (refund)|Leave|Yes||
3|FATConfig|ConfRule1|Transfer FATime to new customer|Transfer|Yes||
3|FATConfig|ConfTarget|Agreement customer change|AgrChg|Yes||
1|FATConfig|ConfTarget|Billing item that is mutually exclusive|BillItem|Yes||
4|FATConfig|ConfTarget|FAT cannot be used for this CLI type|CLIType|Yes||
5|FATConfig|ConfTarget|FAT can be used for this clitype|CLITypeA|Yes||
3|FATConfig|ConfTarget|CLI type change|CTChange|Yes||
1|FATConfig|ConfTarget|FATGroup that is mutually exclusive|FATGroup|Yes||
3|FATConfig|ConfTarget|Invoice customer change|InvChg|Yes||
3|FATConfig|ConfTarget|Subscription termination|MSTerm|Yes||
2|FATConfig|ConfTarget|Field for which default value is set|Transfer|Yes||
3|FATConfig|ConfTarget|User customer change|UserChg|Yes||
FATime|FATConfig|ConfType|Mutually exclusive FATime group|1|Yes||
FATime|FATConfig|ConfType|Special default value|2|Yes||
FATime|FATConfig|ConfType|What to do for FAT in defined process|3|Yes||
FATime|FATConfig|ConfType|CLIType that is not allowed for FATime|4|Yes||
FATime|FATConfig|ConfType|CLIType that is allowed for this FAT|5|Yes||
FATime|FatGroup|FatTarget|Subscription|0|Yes||
FATime|FatGroup|FatTarget|Agreement customer|1|Yes||
FATime|FatGroup|FatTarget|Invoice customer|2|Yes||
FATime|FatGroup|FatTarget|User customer|3|Yes||
FATime|FatGroup|FatTarget|CustPerContract|4|Yes||
FATime|FatGroup|FatTarget|MainContract|5|Yes||
FATime|FATGroup|FATType|Calls|0|Yes||
FATime|FATGroup|FATType|Fixed Fees|1|Yes||
FATime|FATGroup|FATType|All|2|Yes||
FATime|FATGroup|FATType|Single Fees|3|Yes||
FATime|FATGroup|QtyUnit|Amount|Amt|Yes||
FATime|FATGroup|Qtyunit|Quantity|Qty|Yes||
FATime|FATime|ReasonCode|Customer care|R1COM|Yes||
FATime|FATime|ReasonCode|Sales|R2COM|Yes||
FATime|FATime|ReasonCode|Customer relationship mgmt|R3COM|Yes||
FATime|FATime|ReasonCode|Pricing error|R4COM|Yes||
FATime|FATime|ReasonCode|Current device compensation|R5COM|Yes||
ReasonCode|FixCDR|ReasonCode|TroubleShooting|1|Yes||
ReasonCode|FixCDR|ReasonCode|Authority requests|2|Yes||
ReasonCode|FixCDR|ReasonCode|Invoicing|3|Yes||
ReasonCode|FixCDR|ReasonCode|Other reason|4|Yes||
Contract|FixedFee|HostTable|Customer|Customer|Yes||
Contract|FixedFee|HostTable|Data CLI|DataCLI|Yes||
Contract|FixedFee|HostTable|Mobile CLI|MobSub|Yes||
FeeModel|FMItem|BrokenRental|Broken rental|0|Yes||
FeeModel|FMItem|BrokenRental|Full month|1|Yes||
FeeModel|FMItem|BrokenRental|Bill remaining (last fee broken rental)|2|Yes||
FeeModel|FMItem|BrokenRental|Bill remaining (last fee full month)|3|Yes||
FuncRun|FuncRunParam|ParamType|Character value|Character|Yes||
FuncRun|FuncRunParam|ParamType|Date value|Date|Yes||
FuncRun|FuncRunParam|ParamType|Decimal value|Decimal|Yes||
FuncRun|FuncRunParam|ParamType|Integer value|Integer|Yes||
FuncRun|FuncRunParam|ParamType|Logical value|Logical|Yes||
DashBoard|General|Config|Invoice Funcrun|1|Yes|DeleteTestInv,Delete test invoices,-1|
DashBoard|General|Config|Invoice Funcrun|10|Yes|BillingQuality,Billing quality report,0|
DashBoard|General|Config|Invoice Funcrun|11|Yes|CallItemSplit,Divide call itemization processes,6|
DashBoard|General|Config|Invoice Funcrun|12|Yes|CallItemXMLPr,Create Call Itemization XMLs,7|
DashBoard|General|Config|Invoice Funcrun|2|Yes|BillRunSplit,Divide invoicing processes,1|
DashBoard|General|Config|Invoice Funcrun|3|Yes|BillRunNoWD,Invoice creation,2|
DashBoard|General|Config|Invoice Funcrun|4|Yes|BillRunStatistic,Invoice run statistics,0|
DashBoard|General|Config|Invoice Funcrun|5|Yes|InvoiceNumbering,Invoice numbering,3|
DashBoard|General|Config|Invoice Funcrun|6|Yes|InvPrintSplit,Divide printing mass,0|
DashBoard|General|Config|Invoice Funcrun|7|Yes|PrintPDFXML,Create Invoice PDF-XMLs,4|
DashBoard|General|Config|Invoice Funcrun|8|Yes|PrintENFOXML,Create Invoice ENFO-XMLs,5|
DashBoard|General|Config|Invoice Funcrun|9|Yes|CCReport,Call case reort,0|
HighUsage|HighUsage|HiUSageStatus|NEW|0|Yes||
HighUsage|HighUsage|HiUsageStatus|PROCESS|1|Yes||
HighUsage|HighUsage|HiUsageStatus|CLOSED|2|Yes||
AccRec|Interest|IntType|General B2C|1|Yes||
AccRec|Interest|IntType|General B2B|2|Yes||
AccRec|Invoice|ChargeType|N/A|0|No ||
AccRec|Invoice|ChargeType|Cash|1|No ||
AccRec|Invoice|ChargeType|Direct Debit|2|No ||
AccRec|Invoice|ChargeType|Credit Card|3|No ||
AccRec|Invoice|ChargeType|ePayment|4|No ||
AccRec|Invoice|ChargeType|Bank Transfer|5|Yes||
AccRec|Invoice|ClaimCancel|Cancelled by operator|1|Yes||
AccRec|Invoice|ClaimCancel|Cancelled by collection agency|2|Yes||
AccRec|Invoice|ClaimCancel|Not in use|3|Yes||
AccRec|Invoice|ClaimCancel|Not in use|4|Yes||
AccRec|Invoice|ClaimCancel|Not in use|5|Yes||
AccRec|Invoice|ClaimCancel|Not in use|6|Yes||
AccRec|Invoice|ClaimCancel|Not in use|7|Yes||
AccRec|Invoice|ClaimCancel|Not in use|8|Yes||
AccRec|Invoice|ClaimCancel|Not in use|9|Yes||
DebtCollect|Invoice|ClaimRestraint|Allowed|0|Yes||
DebtCollect|Invoice|ClaimRestraint|Denied|1|Yes||
DebtCollect|Invoice|ClaimRestraint|Temporarily denied|2|Yes||
AccRec|Invoice|ClaimState|Not claimed|0.0|Yes||
AccRec|Invoice|ClaimState|1. SMS reminder|1.0|Yes||
AccRec|Invoice|ClaimState|Barred|11.0|Yes||
