Menu level|Menu place|Menu number|Menu label|Function name|Function code|Function type|Module|Program Class|Deny usage|Token code
112|4|878|RATES |Rates, update|rd-rate|1|Mc/tariffc.p|9999|no|MAIN
112|6|1753|CAMPAIGN |Campaigns|rd-camp|2||9999|no|CC
112|7|555|MORE ... |MORE|rd-more|2||9999|no|MAIN
112|8|8|RETURN |||3||9999|no|MAIN
1121|1|876|PRICE LISTS|Price list file, update|rd-pl|1|Mc/nnplyp.p|9999|no|MAIN
1121|2|1161|DIALLING TYPES|Dialling types|rd-ct|1|Mc/dialtype.p|9999|no|MAIN
1121|3|1791|RATING PREFIXES|Rating Prefix Configuration|rd-pref|1|Mc/ratepref.p|9999|no|MAIN
1121|8|8|RETURN |||3||9999|no|MAIN
1126|1|1753|CAMPAIGN |Campaigns|cm-ca|1|Mc/campaign.p|9999|no|CC
1126|3|1756|CAMPAIGN RUN|Campaign Run|cm-run|1|Mc/camprunui.p|9999|no|CC
1126|4|1754|CAMPAIGN STATIST.|Campaign Statistics|cm-stat|1|Mc/campstac.p|9999|no|CC
1126|8|8|RETURN |||3||9999|no|CC
1127|1|994|B-NUMBER PRICES|B-numbers with prices, spreadsheet|rd-bpr|1|Mc/nnbnrp.p|9999|no|MAIN
1127|3|970|CHANGE RATES|Change rates|rd-ch|1|Mc/nnhimu.p|9999|no|MAIN
1127|8|8|RETURN |||3||0|no|MAIN
114|8|8|RETURN |||3||9999|no|MAIN
115|2|9810|SHOW SUBINV|billing item raport||1|Mm/bitem_raport.p|9999|no|MAIN
115|4|810|PRICE- LIST|Price Lists, printout|bf-ppl|1|Mc/nnhilu.p|9999|no|MAIN
115|6|809|CUSTOMER LISTS|Customer lists, printout|bf-pcu|1|Mc/nnalky.p|9999|no|MAIN
115|8|8|RETURN |||3||9999|no|MAIN
116|8|8|RETURN |||3||9999|no|MAIN
117|1|1662|SALES CHAIN|Sales Chains|salesch|1|Mc/saleschain.p|9999|no|BILL
117|2|952|RESELLER |Reseller file update|bf-rs|1|Mc/nnrsyp.p|9999|no|MAIN
117|3|756|SALESMEN |Salesman file update|bf-sm|1|Mc/nnsmyp2.p|9999|no|MAIN
117|4|1663|SALES EVENT|Sales Events|saleseve|1|Mc/run_salesevent.p|9999|no|BILL
117|5|1666|SUBVENT EVENTS|Subvention Browser|subevent|1|Mc/subventionbrowser.p|9999|no|COMM
117|8|8|RETURN |||3||9999|no|MAIN
12|1|526|RELATED FILES|CUSTOMER-RELATED FILES|cu-rf|2||9999|no|SYST
12|2|710|CUSTOM- ERS|Customer file, update|cu-cu|1|Mc/customerbr.p|9999|no|CCSUPER
12|3|1788|CUSTOMER GROUPS|CUSTOMERS GROUP|cu-group|2||9999|no|SYST
12|5|735|CALL REPORTS|Call Reports|cu-cr|2||9999|no|VENDOR
12|6|1841|CUSTOMER SEARCH|Customer Search Report|cusearch|1|Mc/customer_search_rep_ui.p|9999|no|SYST
12|7|565|OTHER PRINTOUT|Other Customer Reports|cuorep|2||9999|no|CC
12|8|8|RETURN |||3||9999|no|CC
121|1|787|CUSTOMER CATEGORY|Customer category file, update|cu-cc|1|Mc/nnkayp.p|9999|no|CC
121|2|558|CUSTOMER CLASS|custclass|cu-class|1|Mc/custclass.p|9999|no|CC
121|3|1513|COUNTRY |Countries|cu-co|1|Mc/country.p|9999|no|CC
121|4|1095|NATION- ALITIES|Nationalities|cu-nat|1|Mc/nationality.p|9999|no|CC
121|5|1514|LANGUAGE |Languages|cu-lang|1|Mc/language.p|9999|no|MAIN
121|8|8|RETURN |||3||9999|no|CC
1217|8|8|RETURN |||3||9999|no|CC
123|1|875|INVOIC. GROUPS|Invoicing group file, update|cu-ig|1|Mc/nnigyp.p|9999|no|MAIN
123|2|520|EXT.CUST GROUPS|External Customer Groups|cu-eg|1|Mc/nncgro.p|9999|no|CC
123|8|8|RETURN |||3||9999|no|CC
124|8|8|RETURN |||3||9999|no|CC
125|1|1736|SUMMARY BY CCN|Calls Sorted by BillItem / CCN|cr-bit|1|Inv/nnprky3.p|9999|no|VENDOR
125|3|1738|UNIT PR. SPECIF.|Specification with unit prices|cr-pri|1|Inv/nnprky4.p|9999|no|VENDOR
125|5|1033|CLI / CCN|Calls Sorted by CLI / CCN|cr-clic|1|Inv/nnprky3.p|9999|no|CC
125|8|8|RETURN |||3||9999|no|CC
1251|8|8|RETURN |||3||9999|no|CC
1252|8|8|RETURN |||3||9999|no|CC
1253|8|8|RETURN |||3||9999|no|CC
1254|8|8|RETURN |||3||9999|no|CC
127|1|1842|CUSTOMER SUMMARY|Customer/contract Summary|cusum|1|Ar/customer_contract_summary_ui.p|9999|no|AR
127|8|8|RETURN |||3||9999|no|CC
13|1|1882|MOBILE FILES|Mobile Codes|mco-|2||9999|no|SYST
13|2|1884|BILLING DATA|Mobile Rating Data|mra-|2||9999|no|SYST
13|3|259|MOBILE SUBSCRIP|Mobile subscribers and subscriptions|mo-su|2||9999|no|MOB
13|4|738|CALL DATA|MOBILE CALL DATA|call-dat|2||9999|no|VENDOR
13|6|201|MSISDN NOS.|MSISDN NUMBER HANDLING|md-ms|2||9999|no|MAIN
13|7|239|MOBILE SERVICE|MOBILE SERVICES|ms-mse|2||9999|no|SYST
13|8|8|RETURN |||3||0|no|MOB
131|1|293|RATING ERRCODES|Mobile Rating Error Codes, update|mra-er|1|Mm/mrerr.p|9999|no|MOB
131|2|2205|SUBSCR. TYPES|CLI Types|mo-clty|1|Mm/clitype.p|9999|no|MOB
131|3|1340|BNET & PLMN|PLMN & COUNTRY|mco-pc|2||9999|no|MOB
131|4|1141|BILL.OBJ TYPE|Type of Billing Object|obi-type|1|Mm/obitype.p|9999|no|MOB
131|5|2951|MATRIX |MATRIX|matrix|1|Mm/matrix.p|9999|no|MOB
131|7|1370|TECHNICA CALLCASE|TCC Maintenance|tcc|1|Mc/tcc.p|9999|no|VENDOR
131|8|8|RETURN |||3||0|no|MOB
1313|1|1513|COUNTRY |Country Codes|mco-co|1|Mc/country.p|9999|no|MOB
1313|2|1341|PLMN CODES|PLMN Codes|co-plmn|1|Mm/plmn.p|9999|no|MOB
1313|3|2452|ROAMING ZONE|ROAMZONE|roamzone|1|Mm/roamzone.p|9999|no|MOB
1313|4|2451|ROAM.RAT DESTINAT|RZITEM|rzitem|1|Mm/allrzitem.p|9999|no|MOB
1313|5|2472|ROAMDATA RATES|PLMN RATES|plmnrate|1|Mc/allplmnrate.p|9999|no|MOB
1313|6|2882|TELECOMP CODE|TELECOMPANY CODES|telecomp|1|Mm/telecompany.p|9999|no|Mob
1313|8|8|RETURN |||3||9999|no|MOB
132|2|2117|FREE AIRTIME|Free AirTime|mbi-fat|2||9999|no|MOB
132|4|2134|SERVLIMI MAINTENA|SERVICELIMIT MAINTENANCE|servicel|2||9999|no|mob
132|5|2960|TICKET MANAGEME|Ticket Management tools|TMT|2||9999|no|MOB
132|7|2422|HIGHSPEN MAINTENA||highspe|2|HIGHSPENDER|9999|no|mob
132|8|8|RETURN |||3||0|no|MOB
13217|8|8|RETURN |||3||9999|no|MOB
1322|1|1451|FATIME GROUP|FreeAirTime Group|ft-grp|1|Mm/ftgrp.p|9999|no|MOB
1322|2|1452|FATIME MEMBER|FreeAirTime Members|ft-membe|1|Mm/ftgmember.p|9999|no|MOB
1322|3|1453|FATIME EVENT|FreeAirTime Event|fa-event|1|Mm/fatimeall.p|9999|no|MOB
1322|8|8|RETURN |||3||8888|no|MOB
13227|8|8|RETURN |||3||9999|no|MOB
1323|3|1110|SINGLE FEES|Browse All Billable Items|mbi-ob|1|Mc/bitem.p|9999|no|MOB
1323|4|1111|ALL CONT FEES|All Contract Fees|mbi-cf|1|Mc/nncoyp.p|9999|no|MOB
1323|8|8|RETURN |||3||9999|no|
1324|1|2132|SERVICE LIMIT|ALL SERVICES|mbi-serv|1|Mm/servicelimit1.p|9999|yes|mob
1324|4|1043|PERIODIC CONTRACT|Periodical Contracts|percont|1|Mm/daycampaign.p|9999|no|MOB
1324|5|2604|SERVICEL GROUP|SERVICELIMIT GROUP|servlgrp|1|Mm/servicelimitgroup.p|9999|no|MOB
1324|6|2611|SLG ANALYSE|SERVICELIMIT GROUP ANALYSE|slg-anal|1|Mm/slganalyse.p|9999|no|MOB
1324|8|8|RETURN |||3||9999|no|MOB
1325|1|2961|TM QUEUE|Ticket Management Queue|tmq|1|Mm/tmqueue.p|9999|no|VENDOR
1325|2|2962|TM RULES|TM Rules|tm-rule|1|Syst/tmrule.p|9999|no|SYST
1325|8|8|RETURN |||3||9999|no|mob
1327|1|2428|HIGHSPEN CATEGORY|HIGH USAGE KATEGORIES|hiusagek|1|Mm/hiusagekat.p|9999|no|MOB
1327|2|2429|HIGHSPEN LIMITS|HIGH USAGE LIMITS|hiusagel|1|Mm/hiusagelimit1.p|9999|no|mob
1327|3|2422|HIGHSPEN MAINTENA|HIGHSPENDER MAINTENANCE|highspen|1|Mm/highusage.p|9999|no|MOB
1327|8|8|RETURN |||3||9999|no|MOB
133|1|9832|MAIN CONTRACT|MAIN CONTRACT BROWSER|maincntr|1|Mm/maincontr_browser.p|9999|no|MOB
133|2|710|CUSTOM- ERS|Customers|ms-cu|1|Mc/customerbr.p|9999|no|CCSUPER
133|3|259|MOBILE SUBSCRIP|Mobile Subscriptions|ms-su|1|Mm/mobsuball.p|9999|no|MOB
133|4|728|SUPPORT FUNCTION||su-fu|2||9999|no|CC
133|6|1960|MOBSUB HISTORY|Terminated mobile subscriptions|ms-term|1|Mm/termmobsuball.p|9999|no|MOB
133|7|42|PRINT- OUTS|PRINTOUTS FROM MOBILE SUBSCRIPTIONS|ms-pr|2||9999|no|SYST
133|8|8|RETURN |||3||0|no|MOB
1334|2|1065|CUSTOMER REQUESTS|Customer Requests|ms-creq|1|Mm/msreqcume.p|9999|no|CC
1334|3|1066|SUBSCR. REQUESTS|Subscription Request|ms-req|1|Mm/msreqsume.p|9999|no|MOB
1334|4|1067|SERVICE REQUESTS|Service Requests|ms-sereq|1|Mm/msreqseme.p|9999|no|MOB
1334|5|1123|A/R REQUESTS|A/R Requests|ms-arreq|1|Mm/msreqarme.p|9999|no|AR
1334|8|8|RETURN |||3||9999|no|mob
13341|8|8|RETURN |||3||9999|no|MOB
1335|5|2206|ORDERS |Order Queues|ord-ku|2||9999|no|ORDER
1335|6|2851|ORDER REQUEST|Browse order request type 13|ord-req|1|Mm/msreqorme.p|9999|no|MOB
1335|7|9055|ALL ORDERS|Orders Browse All|ord-all|1|Mc/orderbrwall.p|9999|no|ORDER
1335|8|8|RETURN |||3||9999|no|MOB
13355|1|9|NEW NUMBER|Order Browse of New Number|ord-newn|1|Mc/orderst1.p|9999|no|ORDER
13355|2|150|NEW MNP NUMBER|Order Browse New MNP Order|ord-nmp|1|Mc/orderst3.p|9999|no|ORDER
13355|3|9066|HOLD QUEUE|Order Hold Queue|ord-hold|1|Mc/orderst8.p|9999|no|ORDER
13355|4|9047|IN CONTROL|Order Browse In Control|ord-inco|1|Mc/orderst4.p|9999|no|ORDER
13355|5|9061|ORDER QUEUES|Other Order Queues|ord-que|1|Mc/orderstat.p|9999|no|ORDER
13355|7|9045|ORDER HISTORY|Order Browse History|ord-his|2||9999|no|ORDER
13355|8|8|RETURN |||3||9999|no|CC
133557|3|9052|DELIVERD |Order Browse Delivered|ord-deli|1|Mc/orderbrwdeliv.p|9999|no|ORDER
133557|4|9054|CLOSED |Order Browse Closed|ord-clos|1|Mc/orderbrwclosed.p|9999|no|ORDER
133557|8|8|RETURN |||3||9999|no|CC
13356|8|8|RETURN |||3||9999|no|CC
133567|8|8|RETURN |||3||9999|no|CC
1337|4|2226|SUBSCR. REPORT||mob-rep|1|Mm/mobsubrep.p|9999|no|MOB
1337|5|269|COUNT NO OF M.SUB|Count Number Of Mobile Subscriptions|ms-co|1|Mm/mscount.p|9999|no|MOB
1337|8|8|RETURN |||3||9999|no|MOB
134|1|716|CALLS |CALLS||2||9999|no|VENDOR
134|2|1158|RE-RATE MOBCDR|Re-Rate Mobile CDRs|rerate|1|Rate/man_rate.p|9999|no|VENDOR
134|3|1136|DOUBLE MOBCALLS|Search and mark double mobile calls|mra-dbl|1|Mm/nndomco.p|9999|no|VENDOR
134|4|4001|TRIGGER MAINTENA|||2|TRIGGERS|9999|no|MOB
134|5|9790|RATING HISTORY|Rating History|ratehist|2||9999|no|Syst
134|6|9804|MOB TIME STAMPS|Mobile subscription Timestamps|ms-hist|1|Mm/killedmobs.p|9999|no|VENDOR
134|7|42|PRINT- OUTS|||2||9999|no|VENDOR
134|8|8|RETURN |||3||9999|no|MOB
1341|3|299|ERRONEUS POSTCDRS|Bowse Erroneus Mobile Calls|mra-ec|1|Mm/moberror.p|9999|no|VENDOR
1341|4|120|SUBSCR. CDRS|Query Subscription's CDRs|subscdr|1|Mm/subscription_cdr_query.p|9999|no|VENDOR
1341|8|8|RETURN |||3||9999|no|MOB
1344|1|4003|TRIGGER CONFIGUR|tr-conf||1|Mm/triggerconf.p|9999|no|MOB
1344|8|8|RETURN |||3||0|no|MOB
1345|1|9791|RATING ACTIONS|Rerate Log|ratelog|1|Mm/reratelog.p|9999|no|SYST
1345|2|9790|RATING HISTORY|EDR Rating History|edrhist|1|Mm/edrhistory.p|9999|no|SYST
1345|8|8|RETURN |||3||9999|no|Syst
1347|2|1822|DAILY TOP-10|Daily topten|top10|1|Mm/top10.p|9999|no|MOB
1347|8|8|RETURN |||3||9999|no|MOB
135|8|8|RETURN |||3||0|no|MOB
1351|8|8|RETURN |||3||0|no|MOB
136|1|219|MSISDN ST.CODES|MSISDN Status Codes|ms-ms|1|Mm/msstat.p|9999|no|MAIN
136|2|242|MSISDN CLASSES|MSISDN Classes|ms-msc|1|Mm/msclass.p|9999|no|MAIN
136|8|8|RETURN |||3||0|no|MOB
137|1|264|SERVICE GROUPS|Mobile Services|ms-se|1|Mm/service.p|9999|no|MAIN
137|2|253|SERVICE PACKAGES|Mobile Service Packages|ms-sp|1|Mm/servpacm.p|9999|no|MAIN
137|3|254|SERVPACK ELEMENTS|Elements of Mobile Service Packages|ms-sel|1|Mm/servelm.p|9999|no|MAIN
137|7|267|SERVICE ORD LOG||so-log|1|Mm/solog.p|9999|no|CCSUPER
137|8|8|RETURN |||3||0|no|MOB
14|1|1202|REPORTS |Admin Reports|adm-rep|2||9999|no|ADMIN
14|2|895|COMMISS. |COMMISSION AND SUBVENTION|commis|2||9999|no|COMM
14|3|9021|CCTOOL ADMIN|Charge & Compensation tool|ccadmin|1|Mc/ccadmintool.p|9999|no|CCSUPER
14|4|6900|REQUEST QUEUES|Request queue menu|reque|1|Mm/requeuebrowser.p|9999|no|CCSUPER
14|5|9014|PROCESS CONTROL|Process Control|pc-|2||9999|no|CCSUPER
14|6|9818|ADMIN TOOLS|||2||9999|no|CCSUPER
14|7|9805|CCBS USERS|User Maintenance|user-|2||9999|no|CCSUPER
14|8|8|RETURN |||3||0|no|
141|1|1040|FONECTA |Fonecta File Creation|fonecta|1|Mm/fonectaui.p|9999|no|MOB
141|2|1203|FONECTA CONTROL|Fonecta Control Report|fon-ctrl|1|Mm/fonecta_control_report_ui.p|9999|no|ADMIN
141|4|1201|FSECURE REPORT|FSecure Contract Quantity Report|fsec-rep|1|Mc/fsecure_quantity_ui.p|9999|no|BILL
141|8|8|RETURN |||3||0|no|
142|1|896|COMMISS. RULES|Commission Rule|commrule|1|Mc/commissionrule.p|9999|no|COMM
142|2|879|COMMISS. CALCUL.|Commission Calculation|commcalc|1|Mc/commission_calculation_ui.p|9999|yes|COMM
142|5|1572|SUBVENT. RULES|Subvention Rule|subvrule|1|Mc/subventionrule.p|9999|no|COMM
142|6|1571|SUBVENT. CALCULAT|Subvention Calculation|subvcalc|1|Mc/subvention_calculation_ui.p|9999|yes|COMM
142|8|8|RETURN |||3||9999|no|COMM
145|1|9015|TMT |Ticket Management Control|pc-tmc|1|Mm/tmruleselm.p|9999|no|CCSUPER
145|3|1191|FUNC.RUN CONFIG|Function Run Configuration|frconf|1|Syst/funcrunconfig.p|9999|no|VENDOR
145|4|1192|FUNC.RUN QUEUE|Function Run Queue|frqueue|1|Syst/funcrunqueue.p|9999|no|VENDOR
145|8|8|RETURN |||3||0|no|
146|8|8|RETURN |||3||9999|no|
147|5|2204|CHANGE PASSWORD|Change Password|user-cpw|1|Syst/pwadmin.p|0|no|CCSUPER
147|8|8|RETURN |||3||9999|no|CCSUPER
15|1|1068|ADMIN FUNCTION|Admin Functions|inv-adm|2||9999|no|VENDOR
15|2|957|CONTRACT PAYMENTS|CONTRACT-BASED PAYMENTS|if-cp|2||9999|no|BILL
15|3|798|INFORM. TEXTS|INVOICE TEXTS|if-it|2||9999|no|BILL
15|4|42|PRINT- OUTS|Invoicing Reports|if-pr|2||9999|no|BILL
15|5|794|CREATE INVOICES|Create invoices ('bills')|if-cb|2||9999|no|BILL
15|6|791|INVOICE FILE|Invoice file; browser|if-inv|1|Ar/nnlayp.p|9999|no|BILL
15|7|792|PRINT BILLS|Print invoices ('bills')|if-pb|2||9999|no|BILL
15|8|8|RETURN |||3||9999|no|BILL
151|1|1988|EXTERNAL INV.ID|Set External Invoice ID|setinvid|1|Inv/invoice_extinvid_ui.p|9999|no|VENDOR
151|2|2782|ALLOW TRANSFER|Set Invoice Delivery State|ifstrans|1|Inv/invoice_deliverystate_ui.p|9999|no|VENDOR
151|3|2783|ALLOW WEB DISP|Allow Web Visibility|webdisp|1|Inv/invoice_webdisp_ui.p|9999|no|VENDOR
151|4|2781|INVTARG. GROUP|Invoice Target Groups|invtargg|1|Mc/invoicetargetgroupm.p|9999|no|VENDOR
151|5|986|CHANGE INV.DATE|Change invoices' dates|if-cd|1|Inv/nnidch.p|9999|no|BILL
151|6|159|PRINT- OUTS|Various printouts||2||9999|no|VENDOR
151|7|1835|EINVOICE AUTHORIZ|EInvoice Authorizations|einvoice|2||9999|no|BILL
151|8|8|RETURN |||3||9999|no|BILL
1516|1|9819|BILLINFO DUMP|Dump billingdata csv for CM|bill_csv|1|Inv/billinfo_dump_ui.p|9999|no|VENDOR
1516|2|9820|PAYMENTS DUMP|Dump paymentinfo csv for CM|paym_csv|1|Ar/paymentinfo_dump_ui.p|9999|no|VENDOR
1516|3|1651|EVENTMON DUMP|Event month based invoice dump|eventm|1|Inv/invoice_eventmonth_dump_ui.p|9999|no|BILL
1516|8|8|RETURN |||3||9999|no|MAIN
1517|1|1835|EINVOICE AUTHORIZ|EInvoice Authorizations|eauth|1|Inv/einvoiceauth_menu.p|9999|no|BILL
1517|3|1836|READ IN AUTHORIZ|Read Einvoice Authorizations|readeinv|1|Inv/read_einvoice_authorization_ui.p|9999|no|BILL
1517|8|8|RETURN |||3||9999|no|BILL
152|1|907|FIXED FEES|Contract payment file update|cp-cp|1|Mc/nncoyp.p|9999|no|BILL
152|2|1110|SINGLE FEES||mbi-ob2|1|Mc/bitem.p|9999|no|BILL
152|5|295|FEE MODEL|Billing Events,Update|if-bev|1|Mc/bevent.p|9999|no|BILL
152|6|1776|SERVICE FEES|Service Fees|if-sfee|1|Mc/servfee.p|9999|no|CC
152|7|918|REPORT |Report contract payment definitions|co-re|1|Mc/nncili.p|9999|no|BILL
152|8|8|RETURN |||3||9999|no|BILL
153|1|798|INFORM. TEXTS|Information Texts|if-txt|1|Mc/invotxtc.p|9999|no|BILL
153|5|1795|MAIL TEXTS|Send Information Texts Via eMail|if-mail|1|Mc/itsendui.p|9999|no|BILL
153|6|1796|VIEW SEND LOG|View Mail Send Log|if-log|1|Mc/itsendlm.p|9999|no|BILL
153|8|8|RETURN |||3||9999|no|BILL
154|1|1861|BILLING REPORT|Billing Report|bill-rep|1|Inv/billing_report_ui.p|9999|no|BILL
154|2|1866|UNBILLED SUBSCR.|Unbilled Subscriptions Report|unb-rep|1|Inv/unbilled_subsqty_ui.p|9999|no|BILL
154|3|1867|BILLING QUALITY|Billing Quality Report|qual-rep|1|Inv/billing_quality_ui.p|9999|no|BILL
154|4|1032|BILLITEM / CCN|CCN Billing Item Report|ccnbitem|1|Mm/ccnrep.p|9999|no|BILL
154|5|1868|BILLITEM TREND|Billing Item Trend Report|bitrend|1|Inv/billitem_trend_ui.p|9999|no|BILL
154|7|565|OTHER PRINTOUT|Other Printouts|bi-opr|2||9999|no|BILL
154|8|8|RETURN |||3||9999|no|BILL
1547|2|1035|FUTURE BILLING|Future Billing Report|if-fut|1|Inv/futbilrel.p|9999|no|BILL
1547|3|1512|RANKING LIST|Ranking List|if-rank|1|Mc/nnrank.p|9999|no|BILL
1547|8|8|RETURN |||3||9999|no|BILL
155|1|9798|INVOICE TESTING|Invoice Testing|if-test|2||9999|no|SYST
155|3|1010|INVOICE CREATION|Create invoices use customer number|if-cb-cn|1|Inv/nnlamu31.p|9999|no|BILL
155|4|1647|BILLING DENIALS|Import Billing Denials|ic-deny|1|Inv/denybillingui.p|9999|no|SYST
155|5|9826|EDIT PAYMTERM|Edit invoice payment term|if-ipayt|1|Mc/invpaymterm_ui.p|9999|no|BILL
155|6|1920|CLEANING RUN|Cleaning run for small amounts|if-clean|1|Mc/cleanrun.p|9999|no|BILL
155|7|1022|FAILED CREATION|Failed Invoice Creation|if-fail|1|Inv/custnobui.p|9999|no|BILL
155|8|8|RETURN |||3||9999|no|BILL
1551|2|9800|CREATE TEST|Create test invoices|if-ctest|1|Inv/testinvui1.p|9999|no|SYST
1551|4|9802|DELETE TEST|Delete all test invoices|if-dtest|1|Inv/testinvdelui.p|9999|no|SYST
1551|8|8|RETURN |||3||9999|no|
157|1|1457|PRINT H XML FILE|TEAPPSXML File From Invoices|phxml|1|Inv/invoice_teapps_xml_ui.p|9999|no|VENDOR
157|2|1455|PDF XML FILE|XML FILE|pdfxml|1|Inv/invoice_xml_ui.p|9999|no|VENDOR
157|3|1085|INTRUM XML FILE|Send Invoices to Intrum|intrxml|1|Inv/intrum_invoice_ui.p|9999|no|BILL
157|4|1773|PDF INVOICES|PDF converter call|xml2pdf|1|Inv/invoice_xml2pdf_ui.p|9999|no|VENDOR
157|5|1459|PRINT H ZIP FILE|Print house ZIP File|phzip|1|Inv/invoice_printhouse_file_ui.p|9999|no|BILL
157|7|565|OTHER PRINTOUT|Other printouts|invother|2||9999|no|BILL
